period,company,sector,ticker,revenues,cogs,net_income,ebit,ebitda,chg_wc,r_and_d,assets,debt,equity,gross_margin,operating_margin,net_margin,roe,roa,fcf_net_income,current_ratio,liab_equity,debt_assets,dividends,cash_and_eq,curr_assets,curr_liab,sg_a,op_exp,net_interest_paid,pretax_income,taxes
9/30/12,1 800 FLOWERS COM INC,Retail - Apparel & Specialty,FLWS,709,417,16,18,38,1,21,265,33,159,41.20%,2.50%,2.20%,9.90%,6.00%,83.10%,142.10%,66.40%,12.50%,0,25,119,84,233,274,3,19,7
9/30/12,1&1 Drillisch AG,Communication Services,DRI.DE,476,333,40,75,75,-54,0,622,250,182,30.00%,15.70%,8.40%,22.10%,6.50%,4.00%,48.60%,242.10%,30.10%,-48,37,117,242,29,68,9,55,15
9/30/12,1ST SOURCE CORP,Banks,SRCE,230,,49,75,81,-101,,"4,385",273,532,,32.50%,21.50%,9.30%,1.10%,-113.10%,,724.40%,6.20%,-16,57,,,,,,76,27
9/30/12,21st Century Fox,Entertainment,FOX,"24,979","15,933","3,117","4,398","5,196",-665,0,"59,936","15,454","27,949",36.20%,17.60%,13.20%,11.80%,5.50%,92.70%,214.00%,114.50%,25.80%,-550,"9,432","20,124","9,402","3,850","4,648",929,"3,777",923
9/30/12,"2U, Inc.",Application Software,TWOU,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,3D SYSTEMS CORP,Computer Hardware,DDD,260,136,35,37,52,-7,16,507,140,264,47.90%,14.40%,13.40%,13.20%,6.90%,124.60%,217.60%,92.00%,27.50%,0,60,165,76,71,87,5,32,-3
9/30/12,3M,Industrial Products,MMM,"29,606","15,518","4,407","6,404","7,677",-488,"1,595","34,479","6,358","18,141",47.60%,21.60%,15.10%,24.70%,13.00%,88.40%,219.80%,90.10%,18.40%,"-1,612","5,018","14,494","6,595","6,089","7,684",133,"6,271","1,790"
9/30/12,8point3 Energy Partners LP,Utilities - Independent Power Producers,CAFD,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,8X8 INC /DE/,Application Software,EGHT,90,28,76,9,12,-2,7,141,0,128,68.80%,10.50%,84.20%,59.50%,54.00%,83.20%,343.40%,10.20%,0.00%,0,38,45,13,45,53,0,21,-56
9/30/12,99 CENTS ONLY STORES LLC,Retail - Defensive,NCSO,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
