period,company,sector,ticker,revenues,cogs,net_income,ebit,ebitda,chg_wc,r_and_d,assets,debt,equity,gross_margin,operating_margin,net_margin,roe,roa,fcf_net_income,current_ratio,liab_equity,debt_assets,dividends,cash_and_eq,curr_assets,curr_liab,sg_a,op_exp,net_interest_paid,pretax_income,taxes
9/30/12,"A-Mark Precious Metals, Inc.",Brokers & Exchanges,AMRK,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,A. H. Belo Corp,Publishing,AHC,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,"AAC Holdings, Inc.",,AAC,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,AAON INC,Industrial Products,AAON,271,223,15,25,,,0,185,0,126,17.80%,9.40%,5.50%,11.80%,8.10%,,216.50%,46.50%,0.00%,,3,89,41,23,23,0,24,9
9/30/12,AAR CORP,Aerospace & Defense,AIR,"2,130","1,797",70,134,210,-71,0,"2,170",788,882,15.60%,6.30%,3.30%,7.90%,3.20%,97.40%,248.10%,146.00%,36.30%,-12,68,"1,034",417,200,200,39,96,26
9/30/12,AARON'S INC,Consulting & Outsourcing,AAN,"2,013",922,114,227,828,-497,0,"1,667",154,938,54.20%,11.30%,5.70%,,,170.70%,224.10%,77.60%,9.20%,-4,219,"1,104",493,0,863,3,183,70
9/30/12,ABAXIS INC,Medical Diagnostics & Research,ABAX,125,52,13,21,26,0,11,,0,,57.90%,16.70%,10.50%,,,105.70%,,,,0,,,,41,51,-1,21,8
9/30/12,ABBOTT LABORATORIES,Medical Devices,ABT,"17,650","8,517","5,106",737,"3,779",-233,945,"62,416","16,647","25,543",51.70%,4.20%,28.90%,20.00%,8.20%,38.70%,152.50%,144.30%,26.70%,"-3,013","9,527","25,602","16,786","6,357","8,396",236,631,17
9/30/12,AbbVie Inc.,Drug Manufacturers,ABBV,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,ABERCROMBIE & FITCH CO /DE/,Retail - Apparel & Specialty,ANF,"3,618","1,288",193,295,524,-36,0,"2,893",304,"1,909",64.40%,8.10%,5.30%,10.10%,6.70%,101.60%,272.40%,51.60%,10.50%,-62,742,"1,340",492,"2,046","2,035",3,291,99
9/30/12,Abiomed Inc,Medical Devices,ABMD,146,28,14,15,18,-8,26,166,0,141,81.00%,10.10%,9.70%,10.00%,8.50%,44.60%,629.50%,17.90%,0.00%,0,89,124,20,77,103,0,16,2
9/30/12,ABM INDUSTRIES INC /DE/,Business Services,ABM,"4,289","3,827",68,111,163,29,0,"1,876",266,818,10.80%,2.60%,1.60%,8.30%,3.60%,190.00%,164.70%,129.40%,14.20%,-30,25,747,453,328,351,13,105,36
9/30/12,"Acacia Communications, Inc.",Communication Equipment,ACIA,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,Acadia Healthcare Company Inc,Health Care Providers,ACHC,289,232,-31,24,30,-4,0,453,308,101,19.80%,8.40%,-10.70%,-30.80%,-6.80%,-53.90%,133.20%,350.20%,67.80%,0,1,62,47,0,33,16,-33,-3
9/30/12,Acadia Pharmaceuticals Inc,Biotechnology,ACAD,2,0,-23,-23,-23,1,18,27,0,18,100.00%,-1115.40%,-1111.90%,-131.70%,-87.30%,96.90%,410.20%,50.80%,0.10%,0,26,26,6,7,25,0,-23,0
9/30/12,ACADIA REALTY TRUST,REITs,AKR,,,,,,2,,"3,576",882,929,,,,,,,229.30%,104.60%,24.60%,-31,85,205,89,,,,,
9/30/12,Accelerize Inc.,,ACLZ,,,,,,0,,1,0,0,,,,,,,67.50%,-253.90%,71.20%,0,0,1,1,,,,,
9/30/12,Accenture plc,Application Software,ACN,"29,778","20,790","2,554","3,873","4,467",336,0,"16,665",0,"4,624",30.20%,13.00%,9.50%,61.10%,17.00%,118.80%,155.20%,260.40%,0.00%,-951,"6,643","12,588","8,109","5,114","5,114",-27,"3,904","1,079"
9/30/12,ACCO BRANDS Corp,Industrial Products,ACCO,"1,318",919,57,115,147,-6,0,"1,117",669,-62,30.30%,8.70%,4.30%,-91.60%,5.10%,182.90%,203.50%,-1904.00%,59.90%,0,121,623,306,278,285,77,43,24
9/30/12,ACCURAY INC,Medical Devices,ARAY,384,251,-77,-66,-38,23,74,493,78,217,34.60%,-17.20%,-21.40%,-37.90%,-16.70%,30.80%,181.50%,127.40%,15.90%,0,151,332,183,125,199,0,-74,2
9/30/12,ACCURIDE CORP,,ACW,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,ACELRX PHARMACEUTICALS INC,Medical Devices,ACRX,1,0,-20,-19,-19,2,14,41,19,17,100.00%,-1805.20%,-1875.10%,-115.10%,-49.20%,93.00%,486.20%,133.80%,46.70%,0,36,38,8,7,20,2,-20,0
9/30/12,ACETO CORP,Drug Manufacturers,ACET,451,373,15,23,31,-3,0,301,52,162,17.40%,5.10%,3.30%,9.30%,5.00%,98.30%,256.90%,86.10%,17.20%,-5,29,190,74,55,55,1,22,7
9/30/12,ACHILLION PHARMACEUTICALS INC,,ACHN,3,0,-43,-43,,,36,74,1,64,100.00%,-1625.20%,-1617.90%,-67.60%,-58.40%,,712.60%,15.70%,1.30%,,65,67,9,10,46,0,-43,0
9/30/12,"Actavis, Inc.",,ACT,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,"Active Health Foods, Inc.",,AHFD,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,ACTIVE POWER INC,,ACPW,40,31,-11,-11,-9,0,4,,0,,22.90%,-27.20%,-27.40%,,,84.50%,,,,0,,,,16,20,0,-11,0
9/30/12,Activision Blizzard,Application Software,ATVI,"4,407","1,718",816,930,"1,071",-176,630,"12,269",0,"10,564",61.00%,21.10%,18.50%,7.70%,6.70%,86.00%,259.30%,16.10%,0.00%,-206,"3,192","3,848","1,484","1,129","1,759",-2,929,113
9/30/12,ACTUANT CORP,Industrial Products,ATU,"1,277",765,87,205,259,-29,0,"2,007",398,"1,052",40.10%,16.00%,6.80%,8.30%,4.30%,213.60%,176.00%,90.80%,19.80%,-3,68,561,319,285,307,30,155,29
9/30/12,ACUITY BRANDS INC,Computer Hardware,AYI,"1,934","1,146",116,221,261,-2,0,"1,737",360,834,40.80%,11.40%,6.00%,13.90%,6.70%,142.00%,213.50%,108.30%,20.70%,-22,285,779,365,567,567,31,179,63
9/30/12,Acushnet Holdings Corp.,Travel & Leisure,Golf,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,"ADAMS RESOURCES & ENERGY, INC.",Oil & Gas - Integrated,AE,"3,252",72,24,36,53,3,0,413,0,117,97.80%,1.10%,0.70%,20.40%,5.80%,-30.60%,115.60%,251.80%,0.00%,-2,36,327,283,"3,128","3,144",0,36,13
9/30/12,"Adaptive Medias, Inc.",,ADTM,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,addyy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/12,Adeptus Health Inc.,,ADPT,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,ADESTO TECHNOLOGIES Corp,Semiconductors,IOTS,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,"ADIAL PHARMACEUTICALS, INC.",Biotechnology,ADIL,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,adidas Group,Retail - Apparel & Specialty,ADS.DE,"19,157","10,120",961,"1,452","1,804",75,0,"16,170","2,394","7,343",47.20%,7.60%,5.00%,13.00%,5.90%,99.20%,152.40%,120.20%,14.80%,-279,"1,355","9,426","6,186",0,"7,871",99,"1,353",400
9/30/12,Adient plc,Autos,ADNT,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,ADOBE SYSTEMS INC,Application Software,ADBE,"4,234",438,783,"1,181","1,455",84,737,"9,133","1,512","5,986",89.60%,27.90%,18.50%,13.10%,8.60%,137.10%,314.40%,52.60%,16.60%,0,"2,766","3,506","1,115","1,833","2,614",67,"1,020",236
9/30/12,"ADOMANI, INC.",Autos,ADOM,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,ADT Corp,Computer Hardware,ADT,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,"ADURO BIOTECH, INC.",Biotechnology,ADRO,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,ADVANCE AUTO PARTS INC,Retail - Apparel & Specialty,AAP,"6,211","3,126",405,683,865,156,0,"4,169",600,"1,059",49.70%,11.00%,6.50%,38.20%,9.70%,126.30%,120.60%,293.70%,14.40%,-18,449,"2,765","2,292","2,401","2,401",31,653,248
9/30/12,"Advanced Emissions Solutions, Inc.",Industrial Products,ADES,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,ADVANCED ENERGY INDUSTRIES INC,Computer Hardware,AEIS,517,312,36,57,71,-32,65,533,0,407,39.70%,10.90%,7.00%,8.90%,6.80%,19.20%,428.00%,30.90%,0.00%,0,143,390,91,80,149,0,50,14
9/30/12,ADVANCED MICRO DEVICES INC,Semiconductors,AMD,"6,540","4,264",-609,-160,132,432,"1,454","4,988","2,019","1,052",34.80%,-2.50%,-9.30%,-57.90%,-12.20%,-60.10%,136.10%,374.10%,40.50%,0,"1,544","3,195","2,347",961,"2,436",166,-643,-38
9/30/12,AdvanSource Biomaterials Corp,,ASNB,2,1,-2,-1,-1,0,1,4,2,2,51.90%,-79.30%,-97.10%,-113.20%,-45.80%,93.50%,412.70%,146.90%,50.20%,0,0,1,0,2,2,0,-2,0
9/30/12,"Advaxis, Inc.",,ADXS,0,0,-14,-13,-13,6,7,0,1,-4,0.00%,0.00%,0.00%,347.10%,-8839.90%,51.50%,1.10%,-210.40%,1010.40%,0,0,0,7,6,13,6,-13,0
9/30/12,"Adverum Biotechnologies, Inc.",Biotechnology,ADVM,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,Aecom Technology Corp,Engineering & Construction,ACM,"8,205","7,777",258,342,446,-80,0,"6,013","1,261","2,490",5.20%,4.20%,3.20%,10.50%,4.30%,73.40%,163.60%,141.50%,21.00%,0,378,"3,167","1,936",86,86,45,357,97
9/30/12,"Aeglea BioTherapeutics, Inc.",Biotechnology,AGLE,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,AEHR TEST SYSTEMS,Semiconductors,AEHR,16,9,-4,-4,-3,-1,4,12,0,6,42.30%,-24.00%,-23.50%,-59.40%,-31.50%,115.20%,211.80%,88.90%,0.00%,0,2,11,5,7,11,0,-4,0
9/30/12,AEP INDUSTRIES INC,,AEPI,745,584,32,60,79,40,0,,0,,21.50%,8.10%,4.20%,,,244.80%,,,,0,,,,100,100,16,49,19
9/30/12,AEROCENTURY CORP,Consulting & Outsourcing,ACY,25,0,2,10,16,-1,0,140,0,42,100.00%,39.70%,8.60%,5.10%,1.50%,731.10%,11.20%,233.70%,0.00%,0,2,9,80,1,15,4,4,1
9/30/12,"AEROJET ROCKETDYNE HOLDINGS, INC.",Aerospace & Defense,AJRD,918,799,3,39,63,-4,0,940,326,-212,12.90%,4.20%,0.30%,-1.40%,0.30%,1106.90%,133.70%,-544.00%,34.70%,0,188,401,300,41,80,30,9,6
9/30/12,AEROPOSTALE INC,,ARO,,,,,,,,763,0,430,,,,,,,237.10%,77.50%,0.00%,,245,491,207,,,,,
9/30/12,AeroVironment Inc,Aerospace & Defense,AVAV,320,191,30,43,51,-8,35,325,0,280,40.30%,13.30%,9.40%,10.80%,9.30%,56.30%,661.80%,16.00%,0.00%,0,154,257,39,52,86,0,43,13
9/30/12,AES CORP,Utilities - Regulated,AES,"16,528","12,409",175,"3,781","5,098",-31,0,"45,431","22,235","10,549",24.90%,22.90%,9.40%,14.80%,3.40%,124.50%,119.80%,330.70%,48.90%,0,"3,428","9,559","7,978",338,338,"1,214","2,334",709
9/30/12,AETNA INC /PA/,Health Care Plans,AET,"33,747",,"1,829","3,040","3,497",240,,"38,694","4,427","10,529",,9.00%,5.40%,17.40%,4.70%,135.80%,,267.50%,11.40%,-129,"1,958",,,,,,"2,783",955
9/30/12,"AFFILIATED MANAGERS GROUP, INC.",Asset Management,AMG,"1,705",719,165,486,501,35,0,"5,219","1,198","2,951",57.80%,28.50%,21.10%,12.20%,6.90%,118.80%,72.60%,76.80%,23.00%,0,450,776,"1,069",351,500,101,453,93
9/30/12,"Affinion Group Holdings, Inc.",,AGHI,,,,,,-53,,"1,677","2,256","-1,282",,,,,,,80.40%,-230.80%,134.50%,0,106,461,574,,,,,
9/30/12,"Affinion Group, Inc.",Metals & Mining,AGI,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,AFLAC INC,Insurance - Life,AFL,"22,171",,"1,937","3,146","3,146","7,188",,"15,217","3,285","12,946",,14.20%,8.70%,15.00%,12.70%,481.20%,,797.90%,21.60%,-552,"2,249",,,,,,"2,950","1,013"
9/30/12,AGCO CORP /DE,Farm & Construction Machinery,AGCO,"9,249","7,336",624,671,859,-92,290,"7,702","1,400","3,225",20.70%,7.20%,6.80%,19.40%,8.10%,60.90%,161.10%,138.80%,18.20%,0,427,"3,982","2,472",924,"1,243",38,613,37
9/30/12,AGILENT TECHNOLOGIES INC,Medical Diagnostics & Research,A,"6,787","3,182","1,104","1,165","1,414",-261,653,"9,413","2,177","4,725",53.10%,17.20%,16.30%,23.40%,11.70%,87.90%,327.50%,99.20%,23.10%,-35,"3,896","6,010","1,835","1,787","2,440",82,"1,123",19
9/30/12,AGILYSYS INC,Application Software,AGYS,23,-16,-26,-16,-13,-14,18,178,1,113,168.60%,-68.40%,-109.60%,-22.70%,-14.40%,91.00%,240.90%,57.10%,0.50%,0,77,128,53,31,55,0,-37,-5
9/30/12,AGIOS PHARMACEUTICALS INC,Biotechnology,AGIO,22,0,-27,-17,-16,18,31,,0,,100.00%,-76.20%,-108.60%,,,31.00%,,,,0,,,,7,38,0,-16,7
9/30/12,AGL RESOURCES INC,Utilities - Regulated,GAS,"3,142","1,455",187,542,847,173,0,,0,,53.70%,17.20%,6.40%,,,152.50%,,,,-176,,,,712,"1,145",165,334,134
9/30/12,AGREE REALTY CORP,,ADC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/12,AIA Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/12,AILERON THERAPEUTICS INC,Biotechnology,ALRN,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,AIR INDUSTRIES GROUP,Aerospace & Defense,AIRI,59,47,3,5,7,-3,0,52,24,18,21.30%,9.00%,4.30%,14.30%,4.80%,80.60%,148.10%,195.60%,46.50%,0,1,39,26,0,7,2,3,1
9/30/12,AIR LEASE CORP,Consulting & Outsourcing,AL,414,0,77,227,366,22,0,"6,287","3,658","2,211",100.00%,54.90%,18.60%,3.50%,1.20%,-3254.90%,1106.10%,184.30%,58.20%,0,803,916,83,48,187,71,120,43
9/30/12,AIR PRODUCTS & CHEMICALS INC /DE/,Chemicals,APD,"9,413","6,933","1,353","1,405","2,232",92,123,"14,881","4,217","6,647",26.40%,14.90%,14.80%,20.90%,9.30%,30.00%,142.00%,123.90%,28.30%,-503,361,"3,033","2,135",919,"1,076",113,"1,547",365
9/30/12,Aircastle LTD,Consulting & Outsourcing,AYR,605,0,124,317,559,-10,0,"5,224","3,080","1,405",100.00%,52.40%,20.50%,8.80%,2.40%,175.40%,162.90%,271.90%,57.20%,-45,296,657,403,46,288,204,132,8
9/30/12,"Airgas, Inc.",,ARG,"4,361","2,040",261,525,746,-22,0,,0,,53.20%,12.00%,6.00%,,,83.40%,,,,-46,,,,"1,576","1,797",84,429,168
9/30/12,AK STEEL HOLDING CORP,Steel,AKS,"6,468","6,037",-156,-237,-37,-109,0,"4,450",651,377,6.70%,-3.70%,-2.50%,-42.40%,-3.60%,217.40%,112.10%,1079.70%,14.60%,-22,42,"1,274","1,137",215,669,48,-254,-94
9/30/12,AKAMAI TECHNOLOGIES INC,Application Software,AKAM,"1,202",490,194,294,467,-21,57,"2,414",0,"2,201",59.30%,24.50%,16.10%,8.80%,8.00%,106.30%,457.50%,9.70%,0.00%,0,405,680,149,343,418,-9,305,112
9/30/12,"Akers Biosciences, Inc.",Medical Instruments & Equipment,AKER,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,AKORN INC,Drug Manufacturers,AKRX,163,67,40,44,51,-19,13,315,102,145,59.00%,27.20%,24.70%,27.90%,12.80%,41.20%,222.00%,117.90%,32.30%,0,28,111,50,36,52,7,40,0
9/30/12,ALAMO GROUP INC,Farm & Construction Machinery,ALG,619,480,34,44,55,-23,0,451,57,287,22.40%,7.20%,5.50%,11.80%,7.50%,29.30%,381.50%,57.10%,12.60%,-3,38,346,91,94,94,2,50,16
9/30/12,"Alarm.com Holdings, Inc.",Application Software,ALRM,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,"ALASKA AIR GROUP, INC.",Airlines,ALK,"4,570","3,321",337,572,830,116,0,"5,436","1,066","1,439",27.30%,12.50%,7.40%,23.40%,6.20%,91.10%,112.30%,277.70%,19.60%,0,"1,186","1,717","1,529",173,676,48,543,207
9/30/12,ALASKA COMMUNICATIONS SYSTEMS GROUP INC,Communication Services,ALSK,349,136,0,63,122,-11,0,605,570,-51,,,,,,10984.10%,89.10%,-1288.30%,94.10%,-39,20,79,89,92,151,38,12,12
9/30/12,ALBEMARLE CORP,Chemicals,ALB,"2,884","1,911",400,533,631,-18,79,"3,363",757,"1,807",33.70%,18.50%,14.70%,23.50%,12.60%,68.00%,339.10%,86.10%,22.50%,-60,519,"1,470",433,361,440,37,497,111
9/30/12,Alcoa Corp,Metals & Mining,AA,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,ALCOA INC.,Industrial Products,ARNC,"24,951","20,480",611,"1,781","3,262",-249,184,"40,120","9,371","17,195",17.90%,7.10%,3.20%,4.70%,2.00%,182.70%,128.30%,133.30%,23.40%,-131,"1,939","7,713","6,013","1,027","2,690",524,"1,063",255
9/30/12,ALERE INC.,Medical Diagnostics & Research,ALR,"2,097",969,12,136,,,124,"6,971","2,144","3,533",53.80%,6.50%,1.70%,1.00%,0.50%,,143.10%,97.30%,30.80%,,269,988,691,869,992,132,15,8
9/30/12,"Aleris International, Inc.",,ARS,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,"Alexander & Baldwin, Inc.",REITs,ALEX,,,,,,-13,,"1,387",362,-48,,,,,,,72.60%,-3013.00%,26.10%,0,12,65,90,,,,,
9/30/12,ALEXANDERS INC,REITs,ALX,185,0,79,98,135,-11,0,"1,771",0,363,100.00%,52.70%,43.80%,22.30%,4.60%,153.10%,42.80%,387.60%,0.00%,-61,512,603,"1,408",4,88,44,55,0
9/30/12,Alexandria Real Estate Equities Inc,REITs,ARE,540,162,74,158,342,-3,0,"6,965","3,032","3,517",70.00%,29.20%,20.80%,3.20%,1.60%,-146.50%,13.20%,98.10%,43.50%,-150,95,150,"1,136",46,220,66,89,0
9/30/12,ALEXION PHARMACEUTICALS INC,Biotechnology,ALXN,"1,041",122,222,367,389,-7,194,"2,506",161,"1,872",88.30%,35.20%,21.30%,11.90%,8.90%,98.10%,389.70%,33.80%,6.40%,0,906,"1,410",362,359,553,6,364,142
9/30/12,ALICO INC,Consumer Packaged Goods,ALCO,127,95,17,23,30,0,0,190,41,129,24.70%,18.00%,13.80%,13.60%,9.20%,89.90%,266.00%,47.20%,21.50%,-1,4,52,20,8,8,2,29,12
9/30/12,Align Technology Inc,Medical Devices,ALGN,480,118,67,90,108,30,37,649,0,491,,,,13.60%,10.30%,126.40%,259.80%,32.30%,0.00%,0,248,385,148,234,271,0,90,23
9/30/12,ALJ REGIONAL HOLDINGS INC,Business Services,ALJJ,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,Alkermes PLC,Biotechnology,ALKS,187,52,-46,-46,-37,17,97,452,0,392,72.00%,-24.40%,-24.40%,-11.60%,-10.10%,61.70%,526.40%,15.40%,0.00%,0,201,253,48,83,180,1,-46,-1
9/30/12,Alleghany Corp,Insurance - Property & Casualty,Y,"1,783",0,632,734,,-385,0,"21,775","1,424","6,183",100.00%,41.20%,35.50%,10.20%,2.90%,,18.90%,252.20%,6.50%,0,"1,294","2,358","12,460",82,"1,048",22,712,80
9/30/12,Allegheny Technologies Inc.,Industrial Products,ATI,"4,812","4,076",214,414,588,-173,0,"6,047","1,509","2,572",15.30%,8.60%,4.60%,8.70%,3.70%,11.90%,298.20%,135.10%,25.00%,-75,381,"2,570",862,323,323,92,322,110
9/30/12,Allegiant Travel CO,Airlines,ALGT,779,331,49,85,127,20,0,707,146,352,57.60%,11.00%,6.30%,14.10%,7.00%,64.10%,212.00%,101.10%,20.70%,0,306,376,178,140,363,6,80,30
9/30/12,Allegion plc,Consulting & Outsourcing,ALLE,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,Allergan Inc.,Drug Manufacturers,AGN_old,"3,939",673,485,719,935,-33,718,,0,,82.90%,18.30%,12.30%,,,119.80%,,,,-61,,,,"1,680","2,546",29,664,177
9/30/12,Allergan plc,Drug Manufacturers,AGN,"4,584","2,567",261,523,971,-124,307,,0,,44.00%,11.40%,5.70%,,,197.30%,,,,0,,,,755,"1,495",67,456,197
9/30/12,Allete Inc,Utilities - Regulated,ALE,928,307,94,150,241,24,0,"2,876",864,"1,079",67.00%,16.20%,10.10%,8.70%,3.20%,-8.20%,169.80%,166.50%,30.10%,-62,101,277,163,381,472,44,129,36
9/30/12,ALLIANCE DATA SYSTEMS CORP,Credit Services,ADS,"3,517","2,032",405,939,"1,097",45,0,"10,412","5,959",492,42.20%,26.70%,11.50%,82.10%,3.90%,193.20%,167.10%,2014.20%,57.20%,0,766,"8,020","4,800",103,546,287,652,247
9/30/12,ALLIANCE RESOURCE PARTNERS LP,Coal,ARLP,"1,844","1,218",303,413,573,11,0,"1,732",707,624,33.90%,22.40%,21.10%,62.40%,22.50%,67.80%,238.20%,177.60%,40.80%,0,274,464,195,52,213,22,389,0
9/30/12,ALLIANCEBERNSTEIN HOLDING L.P.,Asset Management,AB,,,,,,0,,"1,629",0,"1,626",,,,,,,0.00%,0.20%,0.00%,-146,0,0,3,,,,,
9/30/12,ALLIANT ENERGY CORP,Utilities - Regulated,LNT,"3,110",0,265,482,810,-129,0,"9,628","2,787","3,204",100.00%,15.50%,9.00%,8.80%,2.90%,12.20%,100.90%,200.50%,28.90%,-207,31,781,773,"1,567","2,628",152,381,75
9/30/12,Allianz SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/12,ALLIED HEALTHCARE PRODUCTS INC,Medical Devices,AHPI,45,34,0,0,1,1,0,31,0,27,23.40%,-0.40%,-0.30%,-0.60%,-0.50%,-466.40%,483.40%,16.50%,0.00%,0,6,22,4,11,11,0,0,0
9/30/12,ALLIED MOTION TECHNOLOGIES INC,Computer Hardware,AMOT,111,78,7,8,10,-3,6,57,0,38,29.90%,7.50%,6.20%,18.00%,12.20%,50.30%,296.00%,47.40%,0.30%,-1,5,35,12,18,25,0,9,2
9/30/12,Allied World Assurance Co Holdings AG,,AWH,,,,,,,,"17,420",581,"3,339",,,,,,,84.00%,209.20%,3.30%,,"3,680","4,531","5,396",,,,,
9/30/12,Allison Transmission Holdings Inc,Autos,ALSN,"2,251","1,236",554,485,738,9,109,"5,064","3,021","1,284",45.10%,21.50%,24.60%,43.10%,10.90%,165.50%,141.10%,294.40%,59.70%,-11,112,578,410,422,531,172,253,-301
9/30/12,"ALLSCRIPTS HEALTHCARE SOLUTIONS, INC.",Application Software,MDRX,,,,,,-6,,"2,504",368,"1,477",,,,,,,132.30%,69.50%,14.70%,0,158,658,497,,,,,
9/30/12,ALLSTATE CORP,Insurance - Property & Casualty,ALL,"32,921",,"1,029","1,724","1,724",-22,,"125,933","6,058","19,210",,5.20%,3.10%,5.40%,0.80%,112.10%,,555.60%,4.80%,-434,577,,,,,,"1,329",300
9/30/12,Ally Financial Inc.,Banks,ALLY,,,,,,"1,567",,,0,,,,,,,,,,,-819,,,,,,,,
9/30/12,"ALNYLAM PHARMACEUTICALS, INC.",Biotechnology,ALNY,82,0,-53,-50,-44,-84,94,340,0,197,100.00%,-60.70%,-64.00%,-26.70%,-15.50%,246.20%,312.90%,72.40%,0.00%,0,199,209,67,38,132,-1,-53,0
9/30/12,"Alon USA Energy, Inc.",Oil & Gas - Refining & Marketing,ALJ,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,ALPHA & OMEGA SEMICONDUCTOR Ltd,Semiconductors,AOSL,342,259,13,17,42,-10,31,366,22,279,24.30%,4.90%,3.80%,4.60%,3.50%,-59.80%,303.20%,31.10%,6.00%,0,82,194,64,36,66,0,16,4
9/30/12,ALPHA NETWORK ALLIANCE VENTURES INC.,,ANAV,,,,,,0,,1,0,0,,,,,,,0.00%,-326.40%,0.00%,0,0,0,0,,,,,
9/30/12,Alphabet,Online Media,GOOG,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,"Alphabet Holding Company, Inc.",,ALPX,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/12,"ALPINE IMMUNE SCIENCES, INC.",Biotechnology,ALPN,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
