period,company,sector,ticker,revenues,cogs,net_income,ebit,ebitda,chg_wc,r_and_d,assets,debt,equity,gross_margin,operating_margin,net_margin,roe,roa,fcf_net_income,current_ratio,liab_equity,debt_assets,dividends,cash_and_eq,curr_assets,curr_liab,sg_a,op_exp,net_interest_paid,pretax_income,taxes
9/30/17,1 800 FLOWERS COM INC,Retail - Apparel & Specialty,FLWS,"1,188",666,25,42,75,-21,40,540,110,275,44.00%,3.50%,2.10%,9.10%,4.60%,43.20%,212.40%,96.00%,20.30%,0,57,251,118,408,481,6,36,11
9/30/17,1&1 Drillisch AG,Communication Services,DRI.DE,"1,793","1,214",370,229,247,-224,0,"1,039",60,835,32.30%,12.70%,20.60%,44.20%,35.60%,-19.60%,221.70%,24.40%,5.20%,104,25,162,73,243,351,10,246,62
9/30/17,1ST SOURCE CORP,Banks,SRCE,263,,60,93,100,-108,,"5,502",424,686,,35.30%,22.90%,8.80%,1.10%,-74.20%,,702.10%,7.70%,-19,58,,,,,,93,33
9/30/17,21st Century Fox,Entertainment,FOX,"28,062","17,526","3,085","6,504","7,046","-1,396",0,"49,207","19,893","15,555",37.50%,23.20%,12.00%,21.60%,6.80%,124.20%,232.70%,216.30%,40.40%,-883,"4,530","15,705","6,749","3,490","4,032","1,150","4,559","1,194"
9/30/17,"2U, Inc.",Application Software,TWOU,223,78,-21,-21,-10,-19,0,261,0,196,65.20%,-9.50%,-9.30%,-10.60%,-8.00%,326.10%,279.60%,33.20%,0.00%,0,143,181,65,167,167,0,-21,0
9/30/17,3D SYSTEMS CORP,Computer Hardware,DDD,637,324,-31,-31,30,-11,91,866,8,643,49.10%,-4.80%,-4.90%,-4.90%,-3.60%,-1.90%,288.80%,34.60%,0.90%,0,162,409,142,252,343,1,-32,-1
9/30/17,3M,Industrial Products,MMM,"30,996","15,677","5,490","6,967","8,546",-191,"1,843","35,237","11,663","12,202",49.40%,22.50%,17.70%,45.10%,15.60%,92.30%,207.00%,188.80%,33.10%,"-2,768","3,417","13,656","6,598","6,509","8,352",82,"7,486","1,986"
9/30/17,8point3 Energy Partners LP,Utilities - Independent Power Producers,CAFD,16,2,24,-4,4,0,0,,0,,87.10%,-27.30%,-154.20%,,,47.60%,,,,0,,,,10,19,2,-19,16
9/30/17,8X8 INC /DE/,Application Software,EGHT,332,79,-9,-17,-5,4,37,360,0,312,76.00%,-5.00%,-2.60%,-2.80%,-2.40%,94.70%,435.30%,15.50%,0.00%,0,178,202,46,232,269,0,-11,-3
9/30/17,99 CENTS ONLY STORES LLC,Retail - Defensive,NCSO,"2,007","1,359",10,89,137,-134,0,"1,884",897,509,32.30%,4.40%,0.50%,1.90%,0.50%,-1631.20%,122.30%,270.10%,47.60%,96,16,366,300,0,559,65,29,19
