period,company,sector,ticker,revenues,cogs,net_income,ebit,ebitda,chg_wc,r_and_d,assets,debt,equity,gross_margin,operating_margin,net_margin,roe,roa,fcf_net_income,current_ratio,liab_equity,debt_assets,dividends,cash_and_eq,curr_assets,curr_liab,sg_a,op_exp,net_interest_paid,pretax_income,taxes
9/30/11,1 800 FLOWERS COM INC,Retail - Apparel & Specialty,FLWS,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/11,1&1 Drillisch AG,Communication Services,DRI.DE,470,344,47,60,60,-8,0,534,319,207,27.00%,12.70%,10.10%,23.00%,8.90%,70.70%,135.10%,158.70%,43.90%,-36,23,107,79,31,67,3,60,13
9/30/11,1ST SOURCE CORP,Banks,SRCE,233,,32,60,,,,,0,,,25.70%,18.10%,,,,,,,,,,,,,,61,19
9/30/11,21st Century Fox,Entertainment,FOX,"33,082","21,128","3,131","4,620","5,763",-545,0,"56,712","13,325","27,865",36.10%,14.00%,9.80%,11.70%,5.70%,105.90%,209.60%,103.50%,23.50%,-480,"8,456","18,751","8,944","6,191","7,334",835,"3,944",697
9/30/11,"2U, Inc.",Application Software,TWOU,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/11,3D SYSTEMS CORP,Computer Hardware,DDD,176,93,24,26,,,11,,0,,47.00%,14.60%,13.80%,,,,,,,,,,,46,57,0,25,1
9/30/11,3M,Industrial Products,MMM,"29,231","15,444","4,257","6,115","7,317",-197,"1,579","32,115","6,159","17,412",47.20%,20.90%,14.80%,24.80%,13.50%,95.30%,221.70%,84.40%,19.20%,"-1,547","4,862","13,669","6,165","6,093","7,672",151,"5,964","1,638"
9/30/11,8point3 Energy Partners LP,Utilities - Independent Power Producers,CAFD,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/11,8X8 INC /DE/,Application Software,EGHT,72,23,7,7,8,-1,5,29,0,18,67.60%,9.80%,10.30%,40.80%,25.40%,88.60%,208.60%,60.70%,0.00%,0,19,22,11,37,42,0,7,0
9/30/11,99 CENTS ONLY STORES LLC,Retail - Defensive,NCSO,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
