period,company,sector,ticker,revenues,cogs,net_income,ebit,ebitda,chg_wc,r_and_d,assets,debt,equity,gross_margin,operating_margin,net_margin,roe,roa,fcf_net_income,current_ratio,liab_equity,debt_assets,dividends,cash_and_eq,curr_assets,curr_liab,sg_a,op_exp,net_interest_paid,pretax_income,taxes
9/30/13,1 800 FLOWERS COM INC,Retail - Apparel & Specialty,FLWS,733,426,16,28,47,3,22,270,18,170,41.90%,3.90%,2.20%,9.30%,5.90%,125.50%,121.50%,58.20%,6.70%,0,17,114,94,239,279,2,27,10
9/30/13,1&1 Drillisch AG,Communication Services,DRI.DE,392,245,202,69,69,0,0,413,79,201,37.50%,17.50%,51.50%,100.50%,48.80%,12.10%,115.10%,105.90%,14.90%,-81,56,138,120,30,78,62,206,5
9/30/13,1ST SOURCE CORP,Banks,SRCE,232,,50,78,85,-187,,"4,558",242,568,,33.50%,21.70%,8.80%,1.10%,-276.40%,,702.00%,5.30%,-17,43,,,,,,77,27
9/30/13,21st Century Fox,Entertainment,FOX,"21,227","13,360","3,998","4,880","5,371",-417,0,"62,745","16,457","29,005",37.10%,23.00%,19.80%,14.40%,6.70%,83.30%,192.40%,116.30%,26.20%,-561,"7,806","19,744","10,260","2,496","2,987",999,"6,038","1,153"
9/30/13,"2U, Inc.",Application Software,TWOU,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/13,3D SYSTEMS CORP,Computer Hardware,DDD,378,182,39,68,90,-38,25,698,51,533,51.80%,18.00%,10.20%,7.20%,5.50%,106.80%,312.90%,31.00%,7.30%,0,111,256,82,103,128,25,43,5
9/30/13,3M,Industrial Products,MMM,"30,689","16,121","4,547","6,530","7,876",-454,"1,695","33,604","5,777","18,252",47.50%,21.30%,15.00%,25.20%,13.70%,89.00%,178.60%,84.10%,17.20%,"-1,714","3,311","13,282","7,439","6,343","8,038",117,"6,413","1,804"
9/30/13,8point3 Energy Partners LP,Utilities - Independent Power Producers,CAFD,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/13,8X8 INC /DE/,Application Software,EGHT,108,31,7,10,14,3,9,157,0,141,70.80%,9.60%,6.90%,5.30%,4.70%,106.00%,441.10%,11.40%,0.00%,0,58,63,14,57,66,0,11,5
9/30/13,99 CENTS ONLY STORES LLC,Retail - Defensive,NCSO,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/13,"A-Mark Precious Metals, Inc.",Brokers & Exchanges,AMRK,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/13,A. H. Belo Corp,Publishing,AHC,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/13,"AAC Holdings, Inc.",,AAC,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/13,AAON INC,Industrial Products,AAON,305,233,30,45,,,0,194,0,145,23.70%,14.80%,9.80%,20.70%,15.40%,,277.30%,34.10%,0.00%,,14,96,35,27,27,0,45,15
9/30/13,AAR CORP,Aerospace & Defense,AIR,"1,772","1,518",55,96,174,-48,0,"2,129",702,939,14.30%,5.40%,3.10%,5.90%,2.60%,123.40%,289.20%,126.70%,33.00%,-13,91,"1,051",363,158,158,28,74,25
9/30/13,AARON'S INC,Consulting & Outsourcing,AAN,"2,213","1,011",173,252,910,-787,0,"1,769",142,"1,092",54.30%,11.40%,7.80%,,,-22.30%,230.70%,62.00%,8.00%,-6,156,"1,144",496,0,950,3,277,104
9/30/13,ABAXIS INC,Medical Diagnostics & Research,ABAX,144,64,15,22,27,-8,12,188,1,169,55.50%,15.60%,10.10%,8.60%,7.70%,23.20%,750.90%,11.60%,0.40%,0,69,124,17,45,57,-1,24,9
