period,company,sector,ticker,revenues,cogs,net_income,ebit,ebitda,chg_wc,r_and_d,assets,debt,equity,gross_margin,operating_margin,net_margin,roe,roa,fcf_net_income,current_ratio,liab_equity,debt_assets,dividends,cash_and_eq,curr_assets,curr_liab,sg_a,op_exp,net_interest_paid,pretax_income,taxes
9/30/14,1 800 FLOWERS COM INC,Retail - Apparel & Specialty,FLWS,742,435,10,19,39,-5,22,261,0,181,41.30%,2.60%,1.30%,5.50%,3.80%,75.50%,126.80%,44.30%,0.10%,0,1,95,141,246,287,1,18,7
9/30/14,1&1 Drillisch AG,Communication Services,DRI.DE,387,209,57,94,94,8,0,408,0,227,45.90%,24.30%,14.70%,25.00%,13.90%,93.90%,740.50%,79.70%,0.00%,-104,196,267,511,34,83,12,89,32
9/30/14,1ST SOURCE CORP,Banks,SRCE,235,,56,86,92,-95,,"4,773",416,597,,36.40%,23.90%,9.40%,1.20%,-52.50%,,700.10%,8.70%,-17,92,,,,,,86,30
9/30/14,21st Century Fox,Entertainment,FOX,"29,789","19,461","4,945","5,120","6,135","-1,846",0,"53,286","17,472","20,800",34.70%,17.20%,17.00%,24.40%,9.50%,37.90%,176.30%,156.20%,32.80%,-724,"6,345","16,721","7,935","4,193","5,208","1,043","7,032","1,641"
9/30/14,"2U, Inc.",Application Software,TWOU,90,46,-32,-31,-26,8,0,30,2,0,49.20%,-33.80%,-34.60%,-6444.70%,-103.90%,66.30%,36.00%,6101.90%,5.20%,0,6,10,102,75,75,1,-31,0
9/30/14,3D SYSTEMS CORP,Computer Hardware,DDD,559,269,43,73,110,-82,54,"1,130",19,954,51.80%,13.00%,7.70%,4.50%,3.80%,-5.40%,454.20%,18.50%,1.70%,0,307,556,177,163,217,8,65,22
9/30/14,3M,Industrial Products,MMM,"31,671","16,396","4,880","7,052","8,467",-45,"1,772","32,776","7,344","16,206",48.20%,22.30%,15.60%,30.40%,15.10%,101.80%,164.60%,102.20%,22.40%,"-2,095","2,696","12,681","7,821","6,451","8,223",106,"6,946","2,011"
9/30/14,8point3 Energy Partners LP,Utilities - Independent Power Producers,CAFD,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/14,8X8 INC /DE/,Application Software,EGHT,137,40,0,1,5,0,13,303,0,281,70.50%,0.50%,0.30%,0.10%,0.10%,-76.50%,965.40%,8.00%,0.00%,0,182,191,89,83,96,0,2,2
9/30/14,99 CENTS ONLY STORES LLC,Retail - Defensive,NCSO,,,,,,,,,0,,,,,,,,,,,,,,294,,,,,
9/30/14,"A-Mark Precious Metals, Inc.",Brokers & Exchanges,AMRK,"6,664","6,630",12,17,18,-109,0,300,120,48,0.50%,0.30%,0.20%,26.00%,4.20%,-790.70%,113.00%,526.60%,39.90%,-10,8,284,498,17,17,-2,20,7
9/30/14,A. H. Belo Corp,Publishing,AHC,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/14,"AAC Holdings, Inc.",,AAC,,,,,,,,,0,,,,,,,,,,,,,,393,,,,,
9/30/14,AAON INC,Industrial Products,AAON,331,234,40,62,,,0,229,0,172,29.10%,18.60%,12.20%,23.40%,17.60%,,324.20%,32.90%,0.00%,,42,138,44,35,35,0,62,22
9/30/14,AAR CORP,Aerospace & Defense,AIR,"1,590","1,323",69,110,168,-19,0,"2,205",627,"1,005",16.80%,6.90%,4.40%,6.90%,3.20%,144.60%,277.70%,119.50%,28.40%,-12,82,"1,156",396,157,157,22,90,29
9/30/14,AARON'S INC,Consulting & Outsourcing,AAN,"2,235",990,121,220,905,-499,0,"1,917",141,"1,240",55.70%,9.90%,5.40%,,,241.20%,256.60%,54.60%,7.40%,-4,309,"1,274",566,0,"1,024",3,185,64
9/30/14,ABAXIS INC,Medical Diagnostics & Research,ABAX,157,71,13,19,25,-3,12,182,1,160,54.40%,12.40%,8.40%,8.20%,7.20%,52.10%,730.90%,13.80%,0.40%,0,68,127,44,53,66,-1,20,7
9/30/14,ABBOTT LABORATORIES,Medical Devices,ABT,"19,034","9,035","2,407","1,883","3,579","-1,162","1,394","41,662","7,765","23,489",52.50%,9.90%,12.70%,10.20%,5.80%,47.00%,176.00%,77.40%,18.60%,"-1,001","7,047","17,931","9,113","6,206","8,116",72,"1,828",160
9/30/14,AbbVie Inc.,Drug Manufacturers,ABBV,"19,258","4,587","4,170","6,056","6,891",-79,"3,118","29,045","14,741","5,218",76.20%,31.40%,21.60%,79.90%,14.40%,119.30%,281.70%,456.60%,50.70%,"-2,595","10,246","17,794","16,941","5,497","8,615",271,"5,444","1,274"
9/30/14,ABERCROMBIE & FITCH CO /DE/,Retail - Apparel & Specialty,ANF,"4,428","1,600",251,397,626,99,0,"2,895",407,"1,780",63.90%,9.00%,5.70%,14.10%,8.70%,126.00%,236.50%,62.70%,14.10%,-59,556,"1,262",715,"2,450","2,432",8,381,130
9/30/14,Abiomed Inc,Medical Devices,ABMD,197,39,10,11,13,0,33,216,0,176,80.30%,5.50%,5.10%,5.80%,4.70%,91.40%,498.60%,22.80%,0.00%,0,95,135,112,114,148,0,11,1
9/30/14,ABM INDUSTRIES INC /DE/,Business Services,ABM,"4,530","4,060",69,104,160,-15,0,"2,156",327,941,10.40%,2.30%,1.50%,7.30%,3.20%,94.90%,180.80%,129.10%,15.20%,-34,38,912,851,339,366,12,99,41
9/30/14,"Acacia Communications, Inc.",Communication Equipment,ACIA,,,,,,,,,0,,,,,,,,,,,,,,84,,,,,
9/30/14,Acadia Healthcare Company Inc,Health Care Providers,ACHC,754,519,52,129,148,-18,0,"1,283",663,496,31.10%,17.10%,6.90%,10.50%,4.00%,39.30%,160.40%,158.60%,51.70%,0,7,157,425,0,106,38,83,31
9/30/14,Acadia Pharmaceuticals Inc,Biotechnology,ACAD,1,0,-50,-50,-50,0,34,374,0,365,100.00%,-6608.30%,-6550.50%,-13.60%,-13.30%,101.50%,4641.10%,2.20%,0.00%,0,369,373,75,17,51,0,-50,0
9/30/14,ACADIA REALTY TRUST,REITs,AKR,,,,,,-4,,"4,423","1,166","1,202",,,,,,,364.20%,104.20%,26.40%,-51,131,316,445,,,,,
