period,company,sector,ticker,revenues,cogs,net_income,ebit,ebitda,chg_wc,r_and_d,assets,debt,equity,gross_margin,operating_margin,net_margin,roe,roa,fcf_net_income,current_ratio,liab_equity,debt_assets,dividends,cash_and_eq,curr_assets,curr_liab,sg_a,op_exp,net_interest_paid,pretax_income,taxes
9/30/18,Acadia Pharmaceuticals Inc,Biotechnology,ACAD,158,9,-256,-259,-256,-19,153,351,0,304,94.30%,-163.10%,-161.40%,-84.10%,-72.90%,108.50%,737.70%,15.40%,0.00%,0,298,340,46,250,408,-4,-254,2
9/30/18,ACADIA REALTY TRUST,REITs,AKR,259,0,45,25,140,-13,0,"3,919","1,525","2,124",100.00%,9.80%,6.20%,0.80%,0.40%,-822.00%,70.30%,84.50%,38.90%,-89,10,190,270,33,233,87,-24,1
9/30/18,Accelerize Inc.,,ACLZ,24,10,-5,-3,-2,1,4,9,7,-6,57.60%,-11.30%,-19.40%,78.70%,-50.70%,68.50%,68.20%,-255.40%,78.10%,0,1,4,7,12,16,2,-5,0
9/30/18,Accenture plc,Application Software,ACN,"41,603","29,161","4,060","5,841","6,768",-193,0,"24,449",25,"10,725",29.90%,14.00%,10.10%,39.30%,17.20%,103.70%,133.80%,128.00%,0.10%,"-1,709","5,065","13,586","10,152","6,602","6,602",-37,"5,808","1,593"
9/30/18,ACCO BRANDS Corp,Industrial Products,ACCO,"1,949","1,292",132,206,277,28,0,"2,799",932,774,33.70%,10.60%,6.80%,17.00%,4.70%,191.60%,154.10%,261.60%,33.30%,0,77,830,538,416,451,35,158,26
9/30/18,ACCURAY INC,Medical Devices,ARAY,403,246,-28,-4,8,4,56,387,134,45,38.90%,-1.00%,-7.00%,-63.00%,-7.30%,-10.60%,161.60%,765.00%,34.70%,0,71,290,180,105,161,0,-27,2
9/30/18,ACCURIDE CORP,,ACW,626,545,2,38,80,12,0,592,322,56,13.00%,6.00%,0.40%,4.40%,0.40%,3046.50%,164.60%,963.60%,54.40%,0,39,151,92,44,44,33,0,-5
9/30/18,ACELRX PHARMACEUTICALS INC,Medical Devices,ACRX,8,11,-52,-39,-37,4,19,76,19,-37,-33.30%,-483.80%,-644.20%,141.10%,-68.20%,67.80%,464.20%,-306.90%,25.30%,0,60,63,14,17,36,3,-52,-1
9/30/18,ACETO CORP,Drug Manufacturers,ACET,741,588,-6,31,65,21,9,"1,015",326,397,20.60%,4.20%,-0.80%,-1.50%,-0.60%,-1050.10%,200.10%,155.60%,32.20%,-8,68,477,239,112,122,18,13,19
9/30/18,ACHILLION PHARMACEUTICALS INC,,ACHN,0,0,-86,-89,,,62,316,0,307,0.00%,0.00%,0.00%,-27.90%,-27.20%,,3803.20%,2.70%,0.10%,,304,310,8,26,89,-5,-86,0
9/30/18,"Actavis, Inc.",,ACT,"5,709","3,275",164,642,"1,210",-232,348,"6,566","1,221","3,690",42.60%,11.20%,2.90%,4.40%,2.50%,444.50%,156.90%,78.00%,18.60%,0,234,"2,442","1,556",960,"1,792",73,284,120
9/30/18,"Active Health Foods, Inc.",,AHFD,,,,,,,,0,0,6,,,,,,,9.10%,-99.20%,257.00%,,0,0,1,,,,,
9/30/18,ACTIVE POWER INC,,ACPW,0,0,-6,-1,-1,0,0,31,0,14,0.00%,0.00%,0.00%,-47.60%,-21.10%,20.50%,172.60%,125.70%,0.00%,0,12,28,16,1,1,0,-1,0
9/30/18,Activision Blizzard,Application Software,ATVI,"7,267","2,528",506,"1,506","2,211",232,"1,105","17,958","4,394","10,346",65.20%,20.70%,7.00%,4.90%,2.80%,277.70%,297.80%,73.60%,24.50%,-259,"4,857","6,134","2,060","2,128","3,233",114,"1,380",874
