period,company,sector,ticker,revenues,cogs,net_income,ebit,ebitda,chg_wc,r_and_d,assets,debt,equity,gross_margin,operating_margin,net_margin,roe,roa,fcf_net_income,current_ratio,liab_equity,debt_assets,dividends,cash_and_eq,curr_assets,curr_liab,sg_a,op_exp,net_interest_paid,pretax_income,taxes
9/30/10,1 800 FLOWERS COM INC,Retail - Apparel & Specialty,FLWS,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,1&1 Drillisch AG,Communication Services,DRI.DE,498,380,82,64,64,23,0,369,134,186,23.70%,13.00%,16.50%,44.20%,22.30%,79.70%,98.80%,98.20%,26.20%,-22,20,73,74,30,53,4,99,16
9/30/10,1ST SOURCE CORP,Banks,SRCE,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,21st Century Fox,Entertainment,FOX,"30,926","19,866","3,349","3,540","4,695","-1,165",0,"56,133","15,275","24,830",35.80%,11.50%,11.10%,13.80%,6.10%,91.80%,163.80%,126.10%,27.20%,-372,"7,266","18,335","11,193","6,373","7,520",917,"2,912",-514
9/30/10,"2U, Inc.",Application Software,TWOU,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,3D SYSTEMS CORP,Computer Hardware,DDD,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,3M,Industrial Products,MMM,"26,075","13,445","4,092","5,959","7,094",-914,"1,372","30,065","5,758","15,833",48.40%,22.90%,16.00%,26.30%,13.90%,89.60%,260.40%,89.90%,19.10%,"-1,485","5,853","14,048","5,395","5,299","6,671",167,"5,792","1,621"
9/30/10,8point3 Energy Partners LP,Utilities - Independent Power Producers,CAFD,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,8X8 INC /DE/,Application Software,EGHT,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,99 CENTS ONLY STORES LLC,Retail - Defensive,NCSO,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,"A-Mark Precious Metals, Inc.",Brokers & Exchanges,AMRK,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,A. H. Belo Corp,Publishing,AHC,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,"AAC Holdings, Inc.",,AAC,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,AAON INC,Industrial Products,AAON,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,AAR CORP,Aerospace & Defense,AIR,"1,415","1,156",48,102,146,7,0,"1,533",447,760,18.30%,7.20%,3.40%,6.30%,3.10%,147.80%,249.80%,101.80%,29.20%,0,52,872,349,158,158,27,74,26
9/30/10,AARON'S INC,Consulting & Outsourcing,AAN,"1,753",800,113,181,700,-467,0,,0,,54.30%,10.30%,6.40%,,,109.90%,,,,-5,,,,0,772,4,176,64
9/30/10,ABAXIS INC,Medical Diagnostics & Research,ABAX,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,ABBOTT LABORATORIES,Medical Devices,ABT,"31,745","13,609","5,310","6,815","9,003",36,"2,823","53,359","17,327","21,012",57.10%,21.50%,16.70%,25.30%,10.00%,125.90%,116.50%,153.90%,32.50%,"-2,476","1,822","17,691","15,183","8,497","11,321",382,"6,584","1,273"
9/30/10,AbbVie Inc.,Drug Manufacturers,ABBV,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,ABERCROMBIE & FITCH CO /DE/,Retail - Apparel & Specialty,ANF,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,Abiomed Inc,Medical Devices,ABMD,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,ABM INDUSTRIES INC /DE/,Business Services,ABM,"3,464","3,115",49,81,,,0,,0,,10.10%,2.40%,1.40%,,,,,,,,,,,256,267,5,74,25
9/30/10,"Acacia Communications, Inc.",Communication Equipment,ACIA,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,Acadia Healthcare Company Inc,Health Care Providers,ACHC,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,Acadia Pharmaceuticals Inc,Biotechnology,ACAD,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,ACADIA REALTY TRUST,REITs,AKR,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,Accelerize Inc.,,ACLZ,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,Accenture plc,Application Software,ACN,"23,094","15,843","1,781","2,924","3,399",27,0,"12,835",2,"3,275",31.40%,12.70%,8.90%,62.90%,16.10%,113.50%,145.60%,292.00%,0.00%,-824,"4,841","9,564","6,568","4,326","4,326",-15,"2,914",854
9/30/10,ACCO BRANDS Corp,Industrial Products,ACCO,"1,233",869,-126,95,134,29,0,,0,,29.60%,7.70%,-10.20%,,,-18.90%,,,,0,,,,263,270,67,7,126
9/30/10,ACCURAY INC,Medical Devices,ARAY,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,ACCURIDE CORP,,ACW,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,ACELRX PHARMACEUTICALS INC,Medical Devices,ACRX,0,0,-20,-19,-19,0,16,,0,,0.00%,0.00%,0.00%,,,94.90%,,,,0,,,,4,19,1,-20,0
9/30/10,ACETO CORP,Drug Manufacturers,ACET,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,ACHILLION PHARMACEUTICALS INC,,ACHN,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,"Actavis, Inc.",,ACT,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,"Active Health Foods, Inc.",,AHFD,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,ACTIVE POWER INC,,ACPW,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,Activision Blizzard,Application Software,ATVI,"4,535","2,254",329,790,"1,067",-170,624,"12,393",0,"10,858",50.30%,17.40%,7.20%,3.00%,2.60%,226.40%,327.20%,14.10%,0.00%,-187,"2,846","3,567","1,090",867,"1,491",-9,397,68
9/30/10,ACTUANT CORP,Industrial Products,ATU,"1,161",733,24,137,189,1,0,"1,622",367,740,36.80%,11.80%,2.10%,3.20%,1.50%,634.20%,146.80%,119.20%,22.70%,-3,40,460,313,268,290,32,89,19
9/30/10,ACUITY BRANDS INC,Computer Hardware,AYI,"1,627",965,80,166,203,15,0,"1,504",361,694,40.70%,10.20%,4.90%,11.50%,5.30%,196.50%,194.90%,116.50%,24.00%,-23,191,626,321,495,495,29,119,40
9/30/10,Acushnet Holdings Corp.,Travel & Leisure,Golf,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,"ADAMS RESOURCES & ENERGY, INC.",Oil & Gas - Integrated,AE,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,"Adaptive Medias, Inc.",,ADTM,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,addyy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/10,Adeptus Health Inc.,,ADPT,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,ADESTO TECHNOLOGIES Corp,Semiconductors,IOTS,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,"ADIAL PHARMACEUTICALS, INC.",Biotechnology,ADIL,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,adidas Group,Retail - Apparel & Specialty,ADS.DE,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,Adient plc,Autos,ADNT,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,ADOBE SYSTEMS INC,Application Software,ADBE,"3,018",309,357,700,982,267,590,"7,945","1,494","5,171",89.80%,23.20%,11.80%,6.90%,4.50%,227.60%,352.70%,53.60%,18.80%,0,"2,672","3,177",901,"1,345","2,009",10,665,307
9/30/10,"ADOMANI, INC.",Autos,ADOM,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,ADT Corp,Computer Hardware,ADT,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,"ADURO BIOTECH, INC.",Biotechnology,ADRO,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,ADVANCE AUTO PARTS INC,Retail - Apparel & Specialty,AAP,"5,655","2,859",307,516,674,219,0,"3,329",346,"1,066",49.40%,9.10%,5.40%,28.80%,9.20%,166.80%,116.00%,212.10%,10.40%,-22,161,"2,141","1,846","2,280","2,280",23,492,185
9/30/10,"Advanced Emissions Solutions, Inc.",Industrial Products,ADES,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,ADVANCED ENERGY INDUSTRIES INC,Computer Hardware,AEIS,162,112,-103,-30,-20,34,41,,0,,30.80%,-18.20%,-63.50%,,,-1.70%,,,,0,,,,38,79,0,-95,7
9/30/10,ADVANCED MICRO DEVICES INC,Semiconductors,AMD,"5,800","3,298",977,-93,,,"1,600",,0,,43.10%,-1.60%,16.60%,,,,,,,,,,,926,"2,595",374,"1,146",-4
9/30/10,AdvanSource Biomaterials Corp,,ASNB,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,"Advaxis, Inc.",,ADXS,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,"Adverum Biotechnologies, Inc.",Biotechnology,ADVM,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,Aecom Technology Corp,Engineering & Construction,ACM,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,"Aeglea BioTherapeutics, Inc.",Biotechnology,AGLE,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,AEHR TEST SYSTEMS,Semiconductors,AEHR,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,AEP INDUSTRIES INC,,AEPI,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,AEROCENTURY CORP,Consulting & Outsourcing,ACY,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,"AEROJET ROCKETDYNE HOLDINGS, INC.",Aerospace & Defense,AJRD,795,674,52,83,108,-55,0,,0,,15.30%,10.40%,6.60%,,,108.00%,,,,0,,,,10,39,37,41,-18
9/30/10,AEROPOSTALE INC,,ARO,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,AeroVironment Inc,Aerospace & Defense,AVAV,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,AES CORP,Utilities - Regulated,AES,"13,761","10,299",627,"3,127","4,224",-382,0,"41,882","20,642","10,596",25.20%,22.70%,12.00%,15.60%,4.00%,51.40%,151.70%,295.30%,49.30%,0,"5,123","10,460","6,894",335,335,"1,103","2,173",569
9/30/10,AETNA INC /PA/,Health Care Plans,AET,"33,767",,"1,305","2,265","2,671",311,,"38,135","3,749","9,540",,6.70%,3.90%,13.70%,3.40%,143.10%,,299.70%,9.80%,-18,"1,830",,,,,,"2,018",712
9/30/10,"AFFILIATED MANAGERS GROUP, INC.",Asset Management,AMG,842,403,60,240,253,-72,0,"3,391",964,"1,482",52.20%,28.50%,25.30%,14.40%,6.30%,68.10%,91.80%,128.80%,28.40%,0,353,529,576,127,199,78,246,33
9/30/10,"Affinion Group Holdings, Inc.",,AGHI,,,,,,-64,,,0,,,,,,,,,,,0,,,,,,,,
9/30/10,"Affinion Group, Inc.",Metals & Mining,AGI,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,AFLAC INC,Insurance - Life,AFL,"18,254",,"1,497","2,307","2,307","3,206",,"40,062","2,599","8,417",,12.60%,8.20%,17.80%,3.70%,319.00%,,899.20%,6.50%,-524,"2,323",,,,,,"2,235",738
9/30/10,AGCO CORP /DE,Farm & Construction Machinery,AGCO,"6,312","5,286",112,186,,,196,,0,,16.20%,2.90%,1.80%,,,,,,,,,,,626,840,40,118,47
9/30/10,AGILENT TECHNOLOGIES INC,Medical Diagnostics & Research,A,"4,708","2,164",193,318,,,602,,0,,54.00%,6.80%,4.10%,,,,,,,,,,,"1,624","2,226",72,260,67
9/30/10,AGILYSYS INC,Application Software,AGYS,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,AGIOS PHARMACEUTICALS INC,Biotechnology,AGIO,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,AGL RESOURCES INC,Utilities - Regulated,GAS,"2,307","1,113",231,492,651,53,0,,0,,51.80%,21.30%,10.90%,,,18.20%,,,,-125,,,,497,702,106,392,140
9/30/10,AGREE REALTY CORP,,ADC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/10,AIA Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/10,AILERON THERAPEUTICS INC,Biotechnology,ALRN,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,AIR INDUSTRIES GROUP,Aerospace & Defense,AIRI,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,AIR LEASE CORP,Consulting & Outsourcing,AL,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,AIR PRODUCTS & CHEMICALS INC /DE/,Chemicals,APD,"8,804","6,353","1,001","1,419","2,293",-374,112,"12,999","4,188","5,372",27.80%,16.10%,11.60%,19.00%,7.80%,53.80%,127.40%,142.00%,32.20%,-389,405,"2,945","2,313",959,"1,032",119,"1,355",332
9/30/10,Aircastle LTD,Consulting & Outsourcing,AYR,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,"Airgas, Inc.",,ARG,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,AK STEEL HOLDING CORP,Steel,AKS,"4,077","3,726",-75,-42,175,58,0,"4,275",607,880,8.60%,-1.00%,-1.90%,-8.90%,-1.80%,-153.70%,220.10%,385.70%,14.20%,-22,462,"1,630",741,188,393,37,-98,-20
9/30/10,AKAMAI TECHNOLOGIES INC,Application Software,AKAM,889,257,150,233,,,46,,0,,71.10%,26.20%,16.80%,,,,,,,,,,,336,399,-11,244,94
9/30/10,"Akers Biosciences, Inc.",Medical Instruments & Equipment,AKER,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,AKORN INC,Drug Manufacturers,AKRX,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,ALAMO GROUP INC,Farm & Construction Machinery,ALG,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,"Alarm.com Holdings, Inc.",Application Software,ALRM,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,"ALASKA AIR GROUP, INC.",Airlines,ALK,"3,720","2,717",210,418,647,193,0,"5,120","1,624","1,074",27.00%,11.20%,5.70%,19.60%,4.10%,219.10%,120.10%,376.90%,31.70%,0,"1,318","1,768","1,472",151,585,77,344,134
9/30/10,ALASKA COMMUNICATIONS SYSTEMS GROUP INC,Communication Services,ALSK,346,136,34,37,118,-2,0,,0,,,,,,,190.70%,,,,-38,,,,92,173,38,32,-2
9/30/10,ALBEMARLE CORP,Chemicals,ALB,"2,099","1,541",216,265,,,59,,0,,26.60%,12.60%,10.80%,,,,,,,,,,,234,293,24,210,9
9/30/10,Alcoa Corp,Metals & Mining,AA,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,ALCOA INC.,Industrial Products,ARNC,"18,439","16,902","-1,151",-952,359,"1,112",169,"38,472","9,819","15,520",8.30%,-5.20%,-5.90%,-7.00%,-2.80%,-39.30%,129.70%,147.90%,25.50%,-228,"1,481","7,022","5,414","1,009","2,489",470,"-1,498",-574
9/30/10,ALERE INC.,Medical Diagnostics & Research,ALR,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,"Aleris International, Inc.",,ARS,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,"Alexander & Baldwin, Inc.",REITs,ALEX,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,ALEXANDERS INC,REITs,ALX,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,Alexandria Real Estate Equities Inc,REITs,ARE,465,124,44,187,308,-50,0,"5,749","1,215","2,909",73.40%,40.30%,16.60%,2.60%,1.30%,-200.20%,6.10%,97.60%,21.10%,-92,111,151,"2,466",34,154,72,73,0
9/30/10,ALEXION PHARMACEUTICALS INC,Biotechnology,ALXN,496,57,308,128,144,-37,94,942,5,812,88.50%,25.90%,62.10%,37.90%,32.70%,87.40%,474.40%,16.10%,0.50%,0,299,558,118,216,310,1,127,-180
9/30/10,ALICO INC,Consumer Packaged Goods,ALCO,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,Align Technology Inc,Medical Devices,ALGN,312,79,-31,36,49,16,22,355,0,273,,,,-11.50%,-8.80%,-191.80%,321.60%,30.10%,0.00%,0,186,261,81,174,198,0,-34,-3
9/30/10,ALJ REGIONAL HOLDINGS INC,Business Services,ALJJ,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,Alkermes PLC,Biotechnology,ALKS,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,Alleghany Corp,Insurance - Property & Casualty,Y,"1,196",0,285,420,,,0,,0,,100.00%,35.10%,23.80%,,,,,,,,,,,32,776,1,419,135
9/30/10,Allegheny Technologies Inc.,Industrial Products,ATI,"3,055","2,647",32,93,225,205,0,"4,346","1,071","2,090",13.40%,3.00%,1.20%,1.80%,0.90%,-31.80%,319.80%,108.00%,24.60%,-71,709,"1,998",625,316,316,19,65,27
9/30/10,Allegiant Travel CO,Airlines,ALGT,558,165,76,122,152,17,0,,0,,70.40%,21.90%,13.70%,,,121.50%,,,,0,,,,106,271,2,121,44
9/30/10,Allegion plc,Consulting & Outsourcing,ALLE,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,Allergan Inc.,Drug Manufacturers,AGN_old,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,Allergan plc,Drug Manufacturers,AGN,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,Allete Inc,Utilities - Regulated,ALE,759,280,61,106,172,-65,0,"2,393",703,939,63.20%,14.00%,8.00%,6.50%,2.50%,-398.90%,169.40%,154.90%,29.40%,-57,26,226,133,309,374,34,92,31
9/30/10,ALLIANCE DATA SYSTEMS CORP,Credit Services,ADS,"2,466","1,485",188,483,623,-18,0,"8,130","5,291",46,39.80%,19.60%,7.60%,410.10%,2.30%,192.80%,203.30%,17665.00%,65.10%,0,391,"6,024","2,962",86,499,292,329,122
9/30/10,ALLIANCE RESOURCE PARTNERS LP,Coal,ARLP,"1,231",851,132,222,,,0,"1,051",441,321,30.90%,18.00%,15.60%,59.90%,18.30%,,139.80%,227.60%,41.90%,,22,193,138,41,159,30,193,1
9/30/10,ALLIANCEBERNSTEIN HOLDING L.P.,Asset Management,AB,0,0,167,0,0,-2,0,"1,800",0,"1,798",0.00%,0.00%,0.00%,9.30%,9.30%,-16.20%,0.00%,0.10%,0.00%,-133,0,0,2,0,0,0,193,25
9/30/10,ALLIANT ENERGY CORP,Utilities - Regulated,LNT,"3,369",0,82,432,,,0,,0,,100.00%,12.80%,3.00%,,,,,,,,,,,"1,658","2,937",156,144,44
9/30/10,Allianz SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/10,ALLIED HEALTHCARE PRODUCTS INC,Medical Devices,AHPI,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,ALLIED MOTION TECHNOLOGIES INC,Computer Hardware,AMOT,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,Allied World Assurance Co Holdings AG,,AWH,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,Allison Transmission Holdings Inc,Autos,ALSN,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,"ALLSCRIPTS HEALTHCARE SOLUTIONS, INC.",Application Software,MDRX,,,,,,,,976,24,769,,,,,,,186.80%,27.00%,2.50%,,81,293,157,,,,,
9/30/10,ALLSTATE CORP,Insurance - Property & Casualty,ALL,"31,879",,"1,248","1,973","1,973",-114,,"132,386","5,910","17,588",,6.20%,3.90%,7.10%,0.90%,117.10%,,652.70%,4.50%,-429,704,,,,,,"1,486",238
9/30/10,Ally Financial Inc.,Banks,ALLY,,,,,,907,,,0,,,,,,,,,,,"-1,592",,,,,,,,
9/30/10,"ALNYLAM PHARMACEUTICALS, INC.",Biotechnology,ALNY,100,0,-52,-51,,,108,,0,,100.00%,-51.40%,-52.00%,,,,,,,,,,,43,151,-4,-52,0
9/30/10,"Alon USA Energy, Inc.",Oil & Gas - Refining & Marketing,ALJ,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/10,ALPHA & OMEGA SEMICONDUCTOR Ltd,Semiconductors,AOSL,302,222,38,33,42,-13,21,,0,,26.60%,10.90%,12.50%,,,35.80%,,,,0,,,,26,47,0,39,1
