period,company,sector,ticker,revenues,cogs,net_income,ebit,ebitda,chg_wc,r_and_d,assets,debt,equity,gross_margin,operating_margin,net_margin,roe,roa,fcf_net_income,current_ratio,liab_equity,debt_assets,dividends,cash_and_eq,curr_assets,curr_liab,sg_a,op_exp,net_interest_paid,pretax_income,taxes
9/30/19,1 800 FLOWERS COM INC,Retail - Apparel & Specialty,FLWS,"1,219",705,35,46,76,12,43,615,96,349,42.10%,3.80%,2.90%,10.00%,5.70%,130.40%,227.90%,76.20%,15.60%,0,206,321,141,395,468,3,43,8
9/30/19,1&1 Drillisch AG,Communication Services,DRI.DE,"4,186","2,906",463,749,896,-251,0,"5,960",0,"5,076",30.60%,17.90%,11.10%,9.10%,7.80%,98.90%,239.40%,17.40%,0.00%,-10,6,"1,224",511,585,532,11,634,172
9/30/19,1ST SOURCE CORP,Banks,SRCE,316,,85,109,116,-91,,"6,379",386,781,,34.50%,27.10%,10.90%,1.30%,16.70%,,716.70%,6.00%,-27,65,,,,,,109,23
9/30/19,21st Century Fox,Entertainment,FOX,"31,037","20,057","13,878","6,578","7,195","-1,478",0,"65,886","19,208","33,235",35.40%,21.20%,45.70%,42.70%,21.50%,28.00%,428.70%,98.20%,29.10%,-998,"21,281","34,017","7,935","3,785","4,402","1,103","15,450","1,219"
9/30/19,"2U, Inc.",Application Software,TWOU,442,168,-45,-55,-20,-45,0,864,0,695,62.10%,-12.40%,-10.20%,-6.50%,-5.20%,290.20%,510.70%,24.40%,0.00%,0,424,522,102,329,329,-7,-50,-5
9/30/19,3D SYSTEMS CORP,Computer Hardware,DDD,674,362,-49,-47,10,-45,91,910,148,553,46.30%,-7.00%,-7.20%,-8.80%,-5.30%,157.40%,255.70%,64.70%,16.20%,0,157,453,177,268,359,0,-47,2
9/30/19,3M,Industrial Products,MMM,"31,970","16,871","4,948","6,501","8,002",140,"1,827","42,550","19,439","10,764",47.20%,20.30%,15.50%,46.10%,11.70%,108.90%,230.40%,295.30%,45.70%,"-3,275","7,761","18,020","7,821","6,771","8,598",63,"6,220","1,259"
9/30/19,8point3 Energy Partners LP,Utilities - Independent Power Producers,CAFD,71,9,20,22,43,10,0,,0,,87.90%,30.80%,72.20%,,,117.90%,,,,0,,,,12,41,23,-1,-7
9/30/19,8X8 INC /DE/,Application Software,EGHT,366,146,-108,-108,-80,-33,67,558,219,230,60.00%,-29.40%,-29.40%,-46.80%,-19.30%,115.50%,402.00%,142.70%,39.20%,0,297,357,89,260,327,0,-107,1
9/30/19,99 CENTS ONLY STORES LLC,Retail - Defensive,NCSO,"2,194","1,547",-90,-24,47,7,0,"1,537",965,75,29.50%,-1.10%,-4.10%,-120.50%,-5.90%,-33.70%,80.30%,1950.20%,62.80%,0,2,236,294,0,671,71,-94,-4
9/30/19,"A-Mark Precious Metals, Inc.",Brokers & Exchanges,AMRK,"5,700","5,668",0,0,2,6,0,658,236,73,0.50%,0.00%,0.00%,0.00%,0.00%,-21067.70%,124.80%,800.50%,35.80%,0,5,621,498,32,32,-3,1,1
9/30/19,A. H. Belo Corp,Publishing,AHC,199,197,-4,-8,3,5,0,,0,,1.40%,-3.90%,-2.20%,,,-94.30%,,,,-7,,,,0,11,0,-4,1
9/30/19,"AAC Holdings, Inc.",,AAC,245,196,-97,-62,,,0,463,366,0,19.90%,-25.30%,-43.10%,-23541.30%,-22.80%,,13.60%,103262.70%,79.10%,,3,53,393,15,110,40,-108,-3
9/30/19,AAON INC,Industrial Products,AAON,,,,,,,,320,0,259,,,,,,,333.60%,23.20%,0.00%,,7,147,44,,,,,
9/30/19,AAR CORP,Aerospace & Defense,AIR,,,,,,-112,,"1,683",202,910,,,,,,,257.70%,85.10%,12.00%,-11,40,"1,022",396,,,,,
9/30/19,AARON'S INC,Consulting & Outsourcing,AAN,"3,829","1,922",196,291,"2,113","-2,048",0,"2,699",297,"1,764",49.80%,7.60%,5.10%,,,-30.80%,252.80%,53.00%,11.00%,-6,35,"1,432",566,0,"1,616",16,252,56
9/30/19,ABAXIS INC,Medical Diagnostics & Research,ABAX,245,111,27,39,47,-7,23,341,0,291,54.60%,15.80%,11.10%,9.30%,8.00%,65.10%,602.20%,17.30%,0.10%,-14,167,264,44,72,95,-5,43,16
9/30/19,ABBOTT LABORATORIES,Medical Devices,ABT,"30,723","12,799","2,622","3,781","6,960",-681,"2,383","67,610","19,054","31,129",58.30%,12.30%,8.50%,8.40%,3.90%,165.80%,158.10%,117.20%,28.20%,"-2,048","3,261","14,409","9,113","9,680","14,143",670,"3,074",477
9/30/19,AbbVie Inc.,Drug Manufacturers,ABBV,"32,624","7,370","4,118","7,729","9,611","-1,364","10,343","57,142","37,260","-8,566",77.40%,23.70%,12.60%,-48.10%,7.20%,193.90%,89.10%,-767.10%,65.20%,"-6,092","5,416","15,100","16,941","7,182","17,525","1,255","3,739",-379
9/30/19,ABERCROMBIE & FITCH CO /DE/,Retail - Apparel & Specialty,ANF,"3,663","1,458",117,181,352,40,0,"3,423","1,736","1,105",60.20%,5.00%,3.30%,11.00%,3.50%,153.40%,164.10%,209.80%,50.70%,-53,586,"1,172",715,"2,027","2,024",6,163,41
9/30/19,Abiomed Inc,Medical Devices,ABMD,820,141,221,249,265,-34,97,"1,124",0,991,82.80%,30.30%,26.90%,22.30%,19.60%,58.00%,576.90%,13.40%,0.00%,0,445,647,112,334,431,0,284,63
9/30/19,ABM INDUSTRIES INC /DE/,Business Services,ABM,"6,476","5,773",86,198,307,-18,0,"3,730",953,"1,482",10.90%,3.00%,1.30%,5.80%,2.30%,245.30%,150.50%,151.80%,25.50%,-47,54,"1,281",851,442,505,52,110,24
9/30/19,"Acacia Communications, Inc.",Communication Equipment,ACIA,340,193,5,-7,6,33,102,602,0,503,43.30%,-2.10%,1.50%,1.00%,0.80%,605.20%,543.10%,19.70%,0.00%,0,325,454,84,52,154,-7,0,-5
9/30/19,Acadia Healthcare Company Inc,Health Care Providers,ACHC,"3,031","2,108",-197,381,541,31,0,"6,786","3,258","2,435",30.40%,12.60%,-6.50%,-8.10%,-2.90%,-108.90%,106.60%,178.60%,48.00%,0,44,453,425,0,542,188,-180,17
9/30/19,Acadia Pharmaceuticals Inc,Biotechnology,ACAD,238,13,-276,-280,-277,5,201,501,0,418,94.50%,-117.80%,-116.10%,-66.00%,-55.10%,99.80%,635.40%,19.80%,0.00%,0,414,476,75,298,505,-7,-275,1
9/30/19,ACADIA REALTY TRUST,REITs,AKR,287,0,39,40,163,10,0,"4,330","1,655","2,230",100.00%,13.90%,-0.10%,0.00%,0.00%,177563.60%,45.40%,94.20%,38.20%,-92,48,202,445,36,247,77,2,2
9/30/19,Accelerize Inc.,,ACLZ,,,,,,-2,,5,0,5,,,,,,,256.00%,11.90%,0.00%,0,1,1,1,,,,,
9/30/19,Accenture plc,Application Software,ACN,"43,215","29,900","4,779","6,305","7,198",-21,0,"29,790",23,"14,828",30.80%,14.60%,11.20%,32.70%,16.30%,106.70%,139.70%,100.90%,0.10%,"-1,864","6,130","15,451","11,062","7,010","7,010",-65,"6,252","1,406"
9/30/19,ACCO BRANDS Corp,Industrial Products,ACCO,"1,941","1,313",107,199,269,-17,0,"2,786",883,790,32.30%,10.20%,5.50%,13.50%,3.80%,157.00%,146.90%,252.80%,31.70%,-25,67,880,599,392,429,37,158,51
9/30/19,ACCURAY INC,Medical Devices,ARAY,415,250,-16,0,9,-25,55,406,146,48,39.70%,0.10%,-3.90%,-33.50%,-3.90%,137.10%,171.40%,752.40%,35.90%,0,63,310,181,109,164,0,-15,1
9/30/19,ACCURIDE CORP,,ACW,588,521,-46,21,65,-11,0,533,318,37,11.50%,3.50%,-8.20%,-130.10%,-9.00%,-47.80%,144.20%,1345.90%,59.70%,0,27,127,88,47,47,34,-18,5
9/30/19,ACELRX PHARMACEUTICALS INC,Medical Devices,ACRX,,,,,,2,,121,12,4,,,,,,,678.00%,2734.10%,10.00%,0,106,108,16,,,,,
9/30/19,ACETO CORP,Drug Manufacturers,ACET,683,596,-346,-58,-26,42,8,753,317,50,12.80%,-8.50%,-50.70%,-688.00%,-46.00%,0.10%,100.20%,1397.00%,42.10%,-3,43,505,504,137,145,21,-335,11
9/30/19,ACHILLION PHARMACEUTICALS INC,,ACHN,0,0,-69,-74,,,51,263,0,249,0.00%,0.00%,0.00%,-27.60%,-26.10%,,1965.90%,5.50%,0.00%,,254,259,13,23,74,-6,-69,0
9/30/19,"Actavis, Inc.",,ACT,"7,649","4,227",-574,517,"1,304",-86,548,"13,644","6,310","3,748",44.70%,6.80%,-7.50%,-15.30%,-4.20%,-149.10%,145.10%,264.00%,46.20%,0,374,"4,073","2,807","1,754","2,905",219,-374,199
9/30/19,"Active Health Foods, Inc.",,AHFD,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/19,ACTIVE POWER INC,,ACPW,0,0,-16,-1,-1,0,0,2,0,0,0.00%,0.00%,0.00%,-8717.60%,-856.70%,9.30%,100.30%,917.60%,0.00%,0,2,2,2,1,1,0,-1,0
9/30/19,Activision Blizzard,Application Software,ATVI,"7,114","2,341","1,685","1,944","2,352",-956,"1,079","17,495","2,673","11,977",67.10%,27.30%,23.70%,14.10%,9.60%,66.90%,345.50%,46.10%,15.30%,-283,"4,592","5,663","1,639","1,750","2,829",-14,"1,839",154
