period,company,sector,ticker,revenues,cogs,net_income,ebit,ebitda,chg_wc,r_and_d,assets,debt,equity,gross_margin,operating_margin,net_margin,roe,roa,fcf_net_income,current_ratio,liab_equity,debt_assets,dividends,cash_and_eq,curr_assets,curr_liab,sg_a,op_exp,net_interest_paid,pretax_income,taxes
9/30/15,1 800 FLOWERS COM INC,Retail - Apparel & Specialty,FLWS,"1,081",612,34,57,84,59,31,513,136,220,43.40%,5.30%,3.10%,15.10%,6.50%,284.30%,133.40%,133.30%,26.40%,0,53,190,142,354,412,5,52,19
9/30/15,1&1 Drillisch AG,Communication Services,DRI.DE,480,268,67,101,101,-8,0,"1,010",0,456,44.30%,20.90%,13.90%,14.60%,6.60%,75.00%,136.80%,121.20%,0.00%,-108,288,523,382,34,112,4,97,30
9/30/15,1ST SOURCE CORP,Banks,SRCE,239,,58,84,90,-141,,"4,862",316,625,,35.10%,24.20%,9.30%,1.20%,-128.60%,,678.60%,6.50%,-18,58,,,,,,84,26
9/30/15,21st Century Fox,Entertainment,FOX,"32,585","21,528","9,296","5,919","6,965","-1,780",0,"52,652","19,128","20,788",33.90%,18.20%,29.30%,45.90%,18.10%,34.30%,279.90%,153.30%,36.30%,-841,"10,051","20,264","7,239","4,092","5,138","1,156","10,847","1,304"
9/30/15,"2U, Inc.",Application Software,TWOU,119,51,-27,-27,-21,-2,0,117,1,85,56.80%,-22.80%,-23.10%,-32.10%,-23.40%,87.00%,306.20%,37.10%,0.50%,0,83,93,30,94,94,0,-27,0
9/30/15,3D SYSTEMS CORP,Computer Hardware,DDD,667,346,-6,-1,61,-30,80,"1,513",9,"1,280",48.10%,-0.10%,-0.90%,-0.50%,-0.40%,-213.50%,318.50%,18.20%,0.60%,0,200,508,159,241,322,10,-11,-5
9/30/15,3M,Industrial Products,MMM,"30,695","15,583","4,974","7,108","8,496",-718,"1,766","33,258","11,253","12,224",49.20%,23.20%,16.20%,40.80%,15.00%,86.20%,165.10%,172.10%,33.80%,"-2,477","1,758","11,608","7,032","6,238","8,004",110,"6,998","2,017"
9/30/15,8point3 Energy Partners LP,Utilities - Independent Power Producers,CAFD,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/15,8X8 INC /DE/,Application Software,EGHT,172,47,1,2,9,0,17,307,0,276,72.50%,1.40%,0.80%,0.50%,0.50%,-5.50%,662.40%,11.10%,0.00%,0,157,170,26,106,122,0,4,3
9/30/15,99 CENTS ONLY STORES LLC,Retail - Defensive,NCSO,,,,,,,,"1,791",775,640,,,,,,,222.00%,179.80%,43.30%,,36,334,150,,,,,
9/30/15,"A-Mark Precious Metals, Inc.",Brokers & Exchanges,AMRK,"6,030","6,006",6,7,8,-2,0,334,133,54,0.40%,0.10%,0.10%,11.20%,1.80%,47.60%,115.10%,521.30%,39.80%,0,16,323,280,16,16,-2,9,3
9/30/15,A. H. Belo Corp,Publishing,AHC,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/15,"AAC Holdings, Inc.",,AAC,,,,,,,,210,76,106,,,,,,,321.50%,97.50%,36.10%,,45,97,30,,,,,
9/30/15,AAON INC,Industrial Products,AAON,357,249,43,67,,,0,237,0,182,30.30%,18.80%,12.00%,23.50%,18.10%,,345.20%,30.00%,0.00%,,39,137,40,41,41,0,67,25
9/30/15,AAR CORP,Aerospace & Defense,AIR,"1,613","1,491",19,-52,6,-43,0,"1,547",180,857,7.60%,-3.20%,1.10%,2.20%,1.20%,51.60%,263.80%,80.50%,11.60%,-12,29,997,378,174,174,23,-120,-42
9/30/15,AARON'S INC,Consulting & Outsourcing,AAN,"2,695","1,287",78,177,"1,195","-1,248",0,"2,288",557,"1,201",52.20%,6.60%,2.90%,,,-176.40%,239.30%,90.50%,24.40%,-8,10,"1,144",478,0,"1,231",16,122,43
9/30/15,ABAXIS INC,Medical Diagnostics & Research,ABAX,181,80,27,31,37,-9,14,202,1,176,55.80%,17.00%,15.20%,15.60%,13.60%,19.40%,764.10%,14.50%,0.30%,-22,78,153,20,57,70,0,48,17
9/30/15,ABBOTT LABORATORIES,Medical Devices,ABT,"20,389","9,025","4,201","2,844","4,365",78,"1,289","43,095","8,903","21,988",55.70%,14.00%,20.60%,19.10%,9.80%,61.50%,217.10%,96.00%,20.70%,"-1,363","9,849","19,985","9,206","6,647","8,520",69,"2,830",804
9/30/15,AbbVie Inc.,Drug Manufacturers,ABBV,"20,986","4,071","2,084","5,320","6,053",-578,"3,483","53,855","31,123","5,504",80.60%,25.40%,9.90%,37.90%,3.90%,203.50%,149.90%,878.50%,57.80%,"-2,951","8,279","16,877","11,258","8,112","11,595",547,"2,724",640
9/30/15,ABERCROMBIE & FITCH CO /DE/,Retail - Apparel & Specialty,ANF,"4,101","1,567",38,197,432,-47,0,"2,566",363,"1,553",61.80%,4.80%,0.90%,2.50%,1.50%,545.10%,224.00%,65.30%,14.20%,-61,357,"1,053",470,"2,363","2,337",8,55,17
9/30/15,Abiomed Inc,Medical Devices,ABMD,279,44,128,54,57,-17,40,373,0,331,84.40%,19.30%,45.90%,38.70%,34.30%,82.80%,770.40%,12.80%,0.00%,0,176,265,34,142,182,0,54,-74
9/30/15,ABM INDUSTRIES INC /DE/,Business Services,ABM,"4,563","4,074",83,107,163,-28,0,"2,206",307,"1,000",10.70%,2.40%,1.80%,8.30%,3.80%,89.20%,186.10%,120.50%,13.90%,-35,30,952,512,357,382,11,104,35
9/30/15,"Acacia Communications, Inc.",Communication Equipment,ACIA,146,94,2,18,20,-4,28,,0,,36.00%,12.00%,9.20%,,,51.90%,,,,0,,,,7,35,0,16,3
9/30/15,Acadia Healthcare Company Inc,Health Care Providers,ACHC,"1,169",798,85,202,243,-25,0,"3,627","2,054","1,250",31.70%,17.30%,7.20%,6.80%,2.30%,37.40%,141.10%,190.20%,56.60%,0,38,325,231,0,168,61,127,42
9/30/15,Acadia Pharmaceuticals Inc,Biotechnology,ACAD,0,0,-115,-116,-116,10,65,302,0,285,100.00%,-123217.00%,-122363.80%,-40.40%,-38.10%,92.90%,1801.10%,5.90%,0.00%,0,298,300,17,51,116,-1,-115,0
9/30/15,ACADIA REALTY TRUST,REITs,AKR,,,,,,1,,"5,325","1,349","1,515",,,,,,,283.50%,96.00%,25.30%,-84,73,298,105,,,,,
9/30/15,Accelerize Inc.,,ACLZ,20,5,-6,-5,-4,-1,4,5,5,-2,73.80%,-27.50%,-28.00%,366.20%,-116.80%,115.10%,177.10%,-413.50%,95.00%,0,0,3,2,17,20,0,-6,0
9/30/15,Accenture plc,Application Software,ACN,"32,914","23,105","3,054","4,500","5,146",209,0,"18,203",27,"6,648",29.80%,13.70%,10.00%,49.20%,18.00%,117.00%,126.00%,173.80%,0.10%,"-1,353","4,363","10,700","8,491","5,309","5,309",-19,"4,411","1,137"
9/30/15,ACCO BRANDS Corp,Industrial Products,ACCO,"1,689","1,159",92,179,237,-17,0,"2,215",789,681,31.40%,10.60%,5.40%,13.50%,4.10%,161.60%,197.00%,225.30%,35.60%,0,53,779,395,329,351,44,137,45
9/30/15,ACCURAY INC,Medical Devices,ARAY,380,237,-44,-22,-2,-12,54,464,201,76,37.70%,-5.90%,-11.70%,-58.10%,-9.60%,58.20%,209.90%,506.20%,43.40%,0,150,348,166,111,166,0,-42,3
9/30/15,ACCURIDE CORP,,ACW,757,685,-17,16,68,3,0,836,324,238,9.60%,2.10%,-2.30%,-7.30%,-2.10%,-62.30%,177.70%,251.50%,38.80%,0,20,192,108,56,56,35,-18,0
9/30/15,ACELRX PHARMACEUTICALS INC,Medical Devices,ACRX,5,0,-33,-38,-37,0,25,86,25,47,100.00%,-721.70%,-639.30%,-71.50%,-38.60%,127.20%,555.70%,85.20%,28.80%,0,75,76,14,18,43,3,-33,0
9/30/15,ACETO CORP,Drug Manufacturers,ACET,519,407,22,35,46,-22,5,480,108,239,21.50%,6.80%,4.30%,9.40%,4.70%,44.00%,230.30%,101.00%,22.60%,-7,39,291,126,72,76,1,35,12
9/30/15,ACHILLION PHARMACEUTICALS INC,,ACHN,0,0,-72,-73,,,56,279,1,266,0.00%,0.00%,0.00%,-27.10%,-25.80%,,1963.90%,5.00%,0.20%,,253,256,13,17,73,0,-72,0
9/30/15,"Actavis, Inc.",,ACT,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/15,"Active Health Foods, Inc.",,AHFD,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/15,ACTIVE POWER INC,,ACPW,76,52,-2,-2,0,-7,5,46,0,26,32.40%,-2.30%,-2.50%,-7.40%,-4.20%,467.70%,225.50%,76.20%,0.00%,0,14,43,19,21,26,0,-2,0
9/30/15,Activision Blizzard,Application Software,ATVI,"4,649","1,593",944,"1,320","1,412",-119,610,"14,015","4,077","7,801",65.70%,28.40%,20.30%,12.10%,6.70%,108.50%,369.30%,79.70%,29.10%,-170,"4,521","5,705","1,545","1,126","1,736",201,"1,119",175
9/30/15,ACTUANT CORP,Industrial Products,ATU,"1,249",787,20,54,107,-27,0,"1,637",588,673,37.00%,4.30%,1.60%,2.90%,1.20%,267.50%,238.40%,143.20%,35.90%,-3,169,560,235,300,408,28,25,6
9/30/15,ACUITY BRANDS INC,Computer Hardware,AYI,"2,707","1,561",222,389,435,14,0,"2,407",359,"1,360",42.30%,14.40%,8.20%,16.30%,9.20%,122.50%,271.30%,77.00%,14.90%,-23,757,"1,413",521,757,757,32,344,122
9/30/15,Acushnet Holdings Corp.,Travel & Leisure,Golf,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/15,"ADAMS RESOURCES & ENERGY, INC.",Oil & Gas - Integrated,AE,"3,739",63,4,11,36,-3,0,320,0,160,98.30%,0.30%,0.10%,2.70%,1.30%,274.40%,159.40%,100.10%,0.00%,-4,88,233,146,"3,640","3,665",0,6,2
9/30/15,"Adaptive Medias, Inc.",,ADTM,,,,,,0,,0,0,-1,,,,,,,25.90%,-133.80%,29.20%,0,0,0,1,,,,,
9/30/15,addyy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/15,Adeptus Health Inc.,,ADPT,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/15,ADESTO TECHNOLOGIES Corp,Semiconductors,IOTS,41,26,-9,-8,-5,5,14,31,6,8,38.40%,-19.40%,-21.60%,-108.70%,-28.40%,8.50%,78.80%,282.80%,20.60%,0,6,17,22,10,24,1,-9,0
9/30/15,"ADIAL PHARMACEUTICALS, INC.",Biotechnology,ADIL,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/15,adidas Group,Retail - Apparel & Specialty,ADS.DE,"18,724","9,824",610,"1,236","1,763",-358,0,"15,264","2,961","6,628",47.50%,6.60%,3.30%,9.30%,4.00%,85.10%,151.40%,130.30%,16.20%,-363,"1,148","8,853","5,849",0,"7,932",32,"1,089",376
9/30/15,Adient plc,Autos,ADNT,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/15,ADOBE SYSTEMS INC,Application Software,ADBE,"4,256",640,306,528,844,289,850,"11,008","1,902","6,589",85.00%,12.40%,7.20%,4.70%,2.80%,269.30%,222.10%,67.10%,17.30%,0,"3,177","3,972","1,788","2,184","3,088",58,460,153
9/30/15,"ADOMANI, INC.",Autos,ADOM,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/15,ADT Corp,Computer Hardware,ADT,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/15,"ADURO BIOTECH, INC.",Biotechnology,ADRO,13,0,-17,-19,-19,38,24,126,0,79,100.00%,-142.80%,-127.10%,-21.60%,-13.50%,-105.70%,283.20%,60.80%,0.00%,0,119,125,44,9,33,2,-17,0
9/30/15,ADVANCE AUTO PARTS INC,Retail - Apparel & Specialty,AAP,"9,935","5,415",505,875,"1,153",-126,0,"8,168","1,454","2,289",45.50%,8.80%,5.10%,22.10%,6.20%,98.00%,128.30%,256.80%,17.80%,-18,115,"4,978","3,880","3,645","3,645",70,801,297
9/30/15,"Advanced Emissions Solutions, Inc.",Industrial Products,ADES,38,27,-4,-41,-39,-10,2,83,15,-6,28.70%,-109.10%,-11.00%,68.30%,-5.00%,1227.20%,90.10%,-1460.70%,18.30%,0,12,40,44,28,52,7,-4,0
9/30/15,ADVANCED ENERGY INDUSTRIES INC,Computer Hardware,AEIS,367,179,47,88,98,1,37,685,0,475,51.20%,23.80%,12.80%,9.90%,6.90%,168.40%,334.70%,44.10%,0.00%,0,124,377,113,59,100,0,86,17
9/30/15,ADVANCED MICRO DEVICES INC,Semiconductors,AMD,"5,139","3,461",-563,50,246,-143,"1,035","3,428","2,268",17,32.60%,1.00%,-11.00%,-3311.80%,-16.40%,-0.20%,193.30%,20064.70%,66.20%,0,906,"2,497","1,292",579,"1,628",171,-557,6
9/30/15,AdvanSource Biomaterials Corp,,ASNB,3,1,0,0,1,0,0,3,2,0,66.00%,12.70%,1.00%,-19.60%,1.20%,1151.50%,80.80%,-1766.70%,71.20%,0,0,1,1,1,2,0,0,0
9/30/15,"Advaxis, Inc.",,ADXS,0,0,-38,-39,-39,1,20,99,0,98,0.00%,0.00%,0.00%,-38.60%,-38.20%,96.40%,2080.50%,4.90%,0.00%,0,97,99,5,19,39,0,-39,-2
9/30/15,"Adverum Biotechnologies, Inc.",Biotechnology,ADVM,1,0,-36,-32,-32,10,22,293,0,280,100.00%,-4343.20%,-4463.10%,-11.90%,-11.40%,69.30%,3816.60%,4.70%,0.00%,0,290,291,8,11,33,0,-33,0
9/30/15,Aecom Technology Corp,Engineering & Construction,ACM,"13,247","12,772",-5,381,747,60,0,"14,016","4,868","3,721",3.60%,2.90%,0.30%,1.00%,0.30%,2110.90%,134.20%,276.70%,34.70%,0,461,"5,985","4,461",95,95,199,-8,-45
9/30/15,"Aeglea BioTherapeutics, Inc.",Biotechnology,AGLE,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/15,AEHR TEST SYSTEMS,Semiconductors,AEHR,13,7,-5,-5,-5,0,4,15,4,5,42.90%,-40.10%,-41.60%,-101.20%,-37.40%,98.30%,268.10%,170.50%,26.30%,0,4,14,5,7,11,0,-5,0
9/30/15,AEP INDUSTRIES INC,,AEPI,"1,153",970,23,56,79,10,0,431,217,74,15.90%,4.90%,2.00%,31.40%,5.40%,140.40%,182.30%,485.20%,50.40%,0,3,213,117,127,127,19,37,14
9/30/15,AEROCENTURY CORP,Consulting & Outsourcing,ACY,25,0,-11,7,14,-1,0,195,0,36,100.00%,29.00%,-44.10%,-30.70%,-5.60%,-315.50%,10.00%,448.90%,0.00%,0,2,15,146,2,18,6,-17,-6
9/30/15,"AEROJET ROCKETDYNE HOLDINGS, INC.",Aerospace & Defense,AJRD,"1,602","1,406",-50,80,144,57,0,"1,918",782,-176,12.20%,5.00%,-3.10%,28.50%,-2.60%,-298.40%,116.60%,-1193.20%,40.80%,0,266,660,566,38,116,53,-33,16
