period,company,sector,ticker,revenues,cogs,net_income,ebit,ebitda,chg_wc,r_and_d,assets,debt,equity,gross_margin,operating_margin,net_margin,roe,roa,fcf_net_income,current_ratio,liab_equity,debt_assets,dividends,cash_and_eq,curr_assets,curr_liab,sg_a,op_exp,net_interest_paid,pretax_income,taxes
9/30/09,1 800 FLOWERS COM INC,Retail - Apparel & Specialty,FLWS,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,1&1 Drillisch AG,Communication Services,DRI.DE,463,361,-191,48,43,6,0,327,167,126,22.00%,10.40%,-41.20%,-151.70%,-58.50%,-16.20%,108.20%,159.30%,37.50%,0,9,70,64,27,54,4,-177,14
9/30/09,1ST SOURCE CORP,Banks,SRCE,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,21st Century Fox,Entertainment,FOX,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,"2U, Inc.",Application Software,TWOU,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,3D SYSTEMS CORP,Computer Hardware,DDD,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,3M,Industrial Products,MMM,"22,510","12,021","2,794","4,227","5,393",759,"1,313","27,633","6,125","12,919",46.60%,18.80%,12.60%,21.90%,10.30%,137.70%,194.20%,113.90%,22.20%,"-1,416","3,936","11,196","5,766","4,949","6,262",167,"4,060","1,226"
9/30/09,8point3 Energy Partners LP,Utilities - Independent Power Producers,CAFD,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,8X8 INC /DE/,Application Software,EGHT,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,99 CENTS ONLY STORES LLC,Retail - Defensive,NCSO,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,"A-Mark Precious Metals, Inc.",Brokers & Exchanges,AMRK,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,A. H. Belo Corp,Publishing,AHC,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,"AAC Holdings, Inc.",,AAC,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,AAON INC,Industrial Products,AAON,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,AAR CORP,Aerospace & Defense,AIR,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,AARON'S INC,Consulting & Outsourcing,AAN,"1,593",740,90,147,619,-537,0,,0,,53.60%,9.30%,5.70%,,,8.30%,,,,-3,,,,0,706,8,140,54
9/30/09,ABAXIS INC,Medical Diagnostics & Research,ABAX,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,ABBOTT LABORATORIES,Medical Devices,ABT,"29,480","12,587","5,381","5,685",,,"2,720",,0,,57.30%,19.30%,18.20%,,,,,,,,,,,"8,489","11,208",322,"6,628","1,393"
9/30/09,AbbVie Inc.,Drug Manufacturers,ABBV,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,ABERCROMBIE & FITCH CO /DE/,Retail - Apparel & Specialty,ANF,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,Abiomed Inc,Medical Devices,ABMD,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,ABM INDUSTRIES INC /DE/,Business Services,ABM,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,"Acacia Communications, Inc.",Communication Equipment,ACIA,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,Acadia Healthcare Company Inc,Health Care Providers,ACHC,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,Acadia Pharmaceuticals Inc,Biotechnology,ACAD,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,ACADIA REALTY TRUST,REITs,AKR,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,Accelerize Inc.,,ACLZ,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,Accenture plc,Application Software,ACN,"23,171","16,330","1,590","2,893","3,392",1,0,"12,256",1,"3,386",29.50%,12.50%,8.40%,57.20%,15.80%,124.60%,144.10%,261.90%,0.00%,-378,"4,550","8,991","6,239","3,948","3,948",-36,"2,678",740
9/30/09,ACCO BRANDS Corp,Industrial Products,ACCO,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,ACCURAY INC,Medical Devices,ARAY,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,ACCURIDE CORP,,ACW,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,ACELRX PHARMACEUTICALS INC,Medical Devices,ACRX,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,ACETO CORP,Drug Manufacturers,ACET,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,ACHILLION PHARMACEUTICALS INC,,ACHN,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,"Actavis, Inc.",,ACT,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,"Active Health Foods, Inc.",,AHFD,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,ACTIVE POWER INC,,ACPW,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,Activision Blizzard,Application Software,ATVI,"4,369","2,597",205,179,661,-94,618,"13,519",0,"11,531",40.60%,4.10%,4.70%,1.80%,1.50%,301.90%,340.80%,17.20%,0.00%,0,"2,830","3,718","1,091",975,"1,593",-52,108,-97
9/30/09,ACTUANT CORP,Industrial Products,ATU,"1,118",729,14,87,139,42,0,,0,,34.70%,7.80%,1.20%,,,1171.20%,,,,-2,,,,250,301,42,27,1
9/30/09,ACUITY BRANDS INC,Computer Hardware,AYI,"1,657","1,022",85,181,216,-39,0,,0,,38.30%,10.90%,5.10%,,,134.20%,,,,-22,,,,455,455,29,127,42
9/30/09,Acushnet Holdings Corp.,Travel & Leisure,Golf,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,"ADAMS RESOURCES & ENERGY, INC.",Oil & Gas - Integrated,AE,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,"Adaptive Medias, Inc.",,ADTM,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,addyy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/09,Adeptus Health Inc.,,ADPT,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,ADESTO TECHNOLOGIES Corp,Semiconductors,IOTS,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,"ADIAL PHARMACEUTICALS, INC.",Biotechnology,ADIL,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,adidas Group,Retail - Apparel & Specialty,ADS.DE,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,Adient plc,Autos,ADNT,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,ADOBE SYSTEMS INC,Application Software,ADBE,"3,476",358,809,"1,004",,,643,,0,,89.70%,28.90%,23.30%,,,,,,,,,,,"1,405","2,115",9,986,177
9/30/09,"ADOMANI, INC.",Autos,ADOM,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,ADT Corp,Computer Hardware,ADT,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,"ADURO BIOTECH, INC.",Biotechnology,ADRO,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,ADVANCE AUTO PARTS INC,Retail - Apparel & Specialty,AAP,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,"Advanced Emissions Solutions, Inc.",Industrial Products,ADES,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,ADVANCED ENERGY INDUSTRIES INC,Computer Hardware,AEIS,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,ADVANCED MICRO DEVICES INC,Semiconductors,AMD,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,AdvanSource Biomaterials Corp,,ASNB,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,"Advaxis, Inc.",,ADXS,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,"Adverum Biotechnologies, Inc.",Biotechnology,ADVM,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,Aecom Technology Corp,Engineering & Construction,ACM,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,"Aeglea BioTherapeutics, Inc.",Biotechnology,AGLE,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,AEHR TEST SYSTEMS,Semiconductors,AEHR,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,AEP INDUSTRIES INC,,AEPI,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,AEROCENTURY CORP,Consulting & Outsourcing,ACY,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,"AEROJET ROCKETDYNE HOLDINGS, INC.",Aerospace & Defense,AJRD,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,AEROPOSTALE INC,,ARO,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,AeroVironment Inc,Aerospace & Defense,AVAV,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,AES CORP,Utilities - Regulated,AES,"14,385","11,003","1,219","3,028",,,0,,0,,23.50%,21.10%,14.80%,,,,,,,,,,,354,354,"1,219","2,692",706
9/30/09,AETNA INC /PA/,Health Care Plans,AET,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,"AFFILIATED MANAGERS GROUP, INC.",Asset Management,AMG,"1,158",517,-1,367,379,62,0,,0,,55.40%,31.70%,11.40%,,,312.30%,,,,0,,,,201,275,81,152,20
9/30/09,"Affinion Group Holdings, Inc.",,AGHI,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,"Affinion Group, Inc.",Metals & Mining,AGI,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9/30/09,AFLAC INC,Insurance - Life,AFL,"16,554",,"1,254","1,943","1,943","2,492",,"79,331","1,721","6,639",,11.70%,7.60%,18.90%,1.60%,301.00%,,1094.90%,2.20%,-434,941,,,,,,"1,914",660
9/30/09,AGCO CORP /DE,Farm & Construction Machinery,AGCO,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
